AfgKode;Name DK;UK;Newcode;Crop
553;Centnergræskar;Gourd;511;Pumpkin
511;Græskar;Pumpkin;511;Pumpkin
552;Mandelgræskar;Marrow;511;Pumpkin
551;Moskusgræskar;Butternut pumpkin;511;Pumpkin
520;Surkirsebær uden undervækst af græs;Sour cherry;520;Sour cherry
521;Surkirsebær med undervækst af græs;Sour cherry;520;Sour cherry
522;Blomme uden undervækst af græs;Plum;522;Plum
523;Blomme med undervækst af græs;Plum;522;Plum
524;Sødkirsebær uden undervækst af græs;Sweet cherry;524;Sweet cherry
525;Sødkirsebær med undervækst af græs;Sweet cherry;524;Sweet cherry
