Covariate;Status;Replacement
asp_cos;ok;
asp_sin;ok;
BD_000_030;ok;
BD_030_060;ok;
BD_060_100;ok;
BIO01_mean_T;ok;
BIO05_max_T;ok;
BIO06_min_T;ok;
BIO10_meanT_warmest_Q;ok;
BIO11_meanT_coldest_Q;ok;
BIO12_mean_P;ok;
BIO13_P_wettest_M;ok;
BIO14_P_driest_M;ok;
clay_000_030;ok;
clay_030_060;ok;
clay_060_100;ok;
dc;ok;
ddays;ok;
dirinsola;ok;
dist_cit_010000;ok;
dist_cit_100000;ok;
DMI_frostrisk;ok;
DMI_growdays;ok;
DMI_precipitation;ok;
DMI_solar;ok;
elevation;ok;
geology1;ok;
geology10;ok;
geology2;ok;
geology3;ok;
geology4;ok;
geology5;ok;
geology6;ok;
geology7;ok;
geology8;ok;
geology9;ok;
landscape1;ok;
landscape10;ok;
landscape11;ok;
landscape2;ok;
landscape3;ok;
landscape4;ok;
landscape5;ok;
landscape6;ok;
landscape7;ok;
landscape8;ok;
landscape9;ok;
PAW_000_030;ok;
PAW_030_060;ok;
PAW_060_100;ok;
pH_000_030;ok;
pH_030_060;ok;
pH_060_100;ok;
PSC_eq2_000_025_mean;replaced;PSC_eq1_000_025_mean
PSC_eq2_025_050_mean;replaced;PSC_eq1_025_050_mean
PSC_eq2_050_075_mean;replaced;PSC_eq1_050_075_mean
PSC_eq2_075_100_mean;replaced;PSC_eq1_075_100_mean
RSP;ok;
sagawi;ok;
sandc_000_030;ok;
sandc_030_060;ok;
sandc_060_100;ok;
sandf_000_030;ok;
sandf_030_060;ok;
sandf_060_100;ok;
silt_000_030;ok;
silt_030_060;ok;
silt_060_100;ok;
slpdeg;ok;
SOM_000_030;ok;
SOM_030_060;ok;
SOM_060_100;ok;
TWI;ok;
valldepth;ok;
