IMK;IMK_DK;IMK_UK;ECOCROP;ECOCROP_NAME
152;Kartofler, spise-;Table potatoes;1;Potato
400;Asieagurker;Gherkin;463;West Indian gherkin
401;Asparges;Aspargus;353;Asparagus
403;Blomkål;Cauliflower;153;Cauliflower
404;Broccoli;Broccoli;358;Sprouting broccoli
406;Grønkål;Kale;41;Cabbage
407;Gulerod;Carrot;62;Carrot
408;Hvidkål;White cabbage;41;Cabbage
410;Knoldselleri;Celeriac;367;Celeriac
411;Løg;Onions;27;Onion
412;Pastinak;Parsnip;442;Parsnip
413;Rodpersille;Root parsley;385;Parsley
415;Porre;Leek;446;Leek
417;Rødbede;Beet;458;Garden beet
418;Rødkål;Red cabbage;41;Cabbage
420;Salat (friland);Lettuce;63;Lettuce
421;Savoykål, spidskål;Savoy cabbage, pointed cabbage;41;Cabbage
422;Spinat;Spinach;441;Spinach
423;Sukkermajs;Sweet corn;2;Maize
424;Ærter, konsum;Peas;48;Pea
429;Jordskokker, konsum;Jerusalem artichoke;460;Jerusalem artichoke
430;Bladpersille;Leaf parsley;385;Parsley
511;Græskar;Pumpkin;163;Pumpkin
512;Rabarber;Rhubarb;479;Garden rhubarb
513;Jordbær;Strawberry;88;Garden strawberry
514;Solbær;Blackcurrant;404;Black currant
515;Ribs;Redcurrant;405;Red currant
516;Stikkelsbær;Gooseberry;407;European gooseberry
518;Hindbær;Raspberry;439;Red raspberry
519;Blåbær;Blueberry;391;Highbush blueberry
520;Surkirsebær;Sour cherry;437;Cherry, Sour
522;Blomme;Plum;98;Plum
524;Sødkirsebær;Sweet cherry;97;Cherry, Sweet
526;Hyld;Elder;-9;NA
527;Hassel;Hazel;395;European hazelnut
528;Æbler;Apple;21;Apple
529;Pærer;Pear;431;Pear
530;Vindrue;Wine grape;3;European wine grape
534;Hyben;Rose hip;-9;NA
540;Tomater;Tomato;17;Tomato
541;Agurker;Cucumber;49;Cucumber
