CODE;ECOCROP_NAME;TMIN;TOPMN;TOPMX;TMAX;RMIN;ROPMN;ROPMX;RMAX;T1_L;T2_M;T3_H;T4_O;D1_I;D2_W;PHMIN;PHOPMN;PHOPMX;PHMAX
1;Potato;7;15;25;30;250;500;800;2000;0.5;1;0.5;1;0;1;4.2;5;6.2;8.5
2;Maize;10;18;33;47;400;600;1200;1800;0.5;1;0.5;1;0;1;4.5;5;7;8.5
3;European wine grape;10;18;30;38;400;700;850;1200;0.5;1;0.5;1;0;1;4.5;5.5;7.5;8.5
17;Tomato;7;20;27;35;400;600;1300;1800;0.5;1;0.5;1;0;1;5;5.5;6.8;7.5
21;Apple;6;10;30;35;400;900;1200;1800;1;1;0.5;0.5;0;1;4.5;6.2;7;8.2
27;Onion;4;12;25;30;300;350;600;2800;0.5;1;0.5;1;0;1;4.3;6;7;8.3
41;Cabbage;7;15;24;32;300;500;1000;2500;0.5;1;0.5;1;0;1;5;6;7.5;8.3
48;Pea;4;10;24;30;350;800;1200;2500;1;1;1;1;0;1;4.5;5.5;7;8.3
49;Cucumber;6;18;32;38;400;1000;1200;4300;0.5;1;0.5;1;0;1;4.5;6;7.5;8.7
62;Carrot;3;15;24;30;400;600;1200;4000;0.5;1;0.5;1;0;1;4.2;5.8;6.8;8.7
63;Lettuce;5;12;21;30;900;1100;1400;4100;1;1;0.5;0.5;0;1;4.2;6;7;7.5
88;Garden strawberry;6;11;24;28;300;600;900;1700;0.5;1;0;1;0;1;4.5;6;6.8;8.2
97;Cherry, Sweet;6;18;28;40;300;500;900;1500;0.5;1;1;0.5;0;1;4.5;5.5;6.5;7
98;Plum;6;18;33;36;600;900;1500;1800;0.5;1;1;0.5;0;1;4.5;5.5;6.1;7.4
153;Cauliflower;5;10;25;30;450;600;1100;1900;0.5;1;0.5;0.5;0;1;5.5;6;7;8.5
155;Collards;7;15;22;30;300;450;1000;2800;1;1;1;1;0;1;4.5;5.4;6;8.3
163;Pumpkin;10;20;30;40;300;600;1600;2800;0.5;1;0.5;1;0;1;4.5;5.5;7.5;8.3
353;Asparagus;6;15;30;38;500;800;1200;4000;0.5;1;0;1;0;1;4.5;6;6.7;8.2
358;Sprouting broccoli;3;15;24;35;350;900;1500;2000;0.5;1;0.5;1;0;1;5.5;6;6.8;8.5
367;Celeriac;7;15;25;26;700;1000;1200;1700;0.5;1;0.5;1;0.5;1;5.3;6;6.8;8.3
385;Parsley;7;11;20;28;300;900;1500;2800;0.5;1;0.5;1;0;1;5.3;6;7.5;8.3
391;Highbush blueberry;7;18;30;42;700;900;1100;1300;0.5;1;0.5;1;0;1;4;4.5;5;5.5
395;European hazelnut;5;10;24;35;600;900;1100;1400;0.5;1;0.5;0.5;0;1;5.5;6;6.5;7.5
396;Eastern elderberry;5;15;20;25;300;600;1200;4000;0;1;0.5;0;0.5;1;5.3;6;6.5;7.3
404;Black currant;5;17;25;30;500;700;900;1100;0.5;1;0.5;0.5;0;1;6;6.5;7.5;8
405;Red currant;5;10;22;25;500;800;1200;1700;0.5;1;1;0.5;0;1;6;6.5;7.5;8
407;European gooseberry;3;15;25;40;500;900;1300;1700;0;0.5;1;0;0;1;5;6;7;7.5
431;Pear;10;20;35;37;400;600;900;2100;0.5;1;1;0.5;0;1;4.5;5.5;6.5;8.3
437;Cherry, Sour;4;15;25;30;500;800;1600;2700;0.5;1;0.5;0.5;0;1;4.5;6;6.5;7.5
439;Red raspberry;5;17;23;28;300;800;1200;1700;0.5;1;0;1;0;1;4.5;5.5;6.5;7.8
441;Spinach;2;13;20;27;300;800;1200;1700;1;1;0.5;0.5;0;1;5.3;6;7.5;8.3
442;Parsnip;5;15;21;25;300;500;800;1100;0.5;1;0.5;0.5;0;1;5.8;6;6.8;8.3
446;Leek;6;18;24;27;350;750;1000;2800;0.5;1;0.5;1;0;1;4.5;6;6.5;7.5
458;Garden beet;5;15;25;30;500;800;1500;2500;1;1;0.5;0.5;0;1;5;6;6.8;8.3
460;Jerusalem artichoke;7;15;27;30;300;700;1500;2000;0.5;1;0.5;1;0;1;4.5;6;6.6;8.3
463;West Indian gherkin;8;21;28;32;300;800;1000;1700;0.5;1;0.5;1;0;1;5.5;6;7.5;8.3
479;Garden rhubarb;5;15;24;30;400;800;1300;2000;0.5;1;0.5;1;0;1;5.3;6;7;7.8
9999;Rosehip;0;5;12;16;300;500;1200;1500;1;0.5;0.5;0.5;0.5;1;NA;NA;NA;NA
