Newcode;NameDK;NameUK;N2011;N2012;N2013;N2014;N2015;N2016;N2017;N2018;N2019;A2011;A2012;A2013;A2014;A2015;A2016;A2017;A2018;A2019;permanent
152;Kartofler, spise-;Table potatoes;3512;3002;2974;2968;2694;2712;2644;2457;2213;13344;10496;10427;10629;9417;9382;9263;8832;7975;0
400;Asieagurker;Gherkin;63;52;37;37;40;46;45;33;28;126;98;47;34;57;68;69;50;45;0
401;Asparges;Aspargus;130;139;139;152;150;156;152;165;168;111;129;129;146;152;181;181;205;230;1
403;Blomkål;Cauliflower;81;58;65;71;77;81;85;77;88;383;330;290;309;343;365;426;409;492;0
404;Broccoli;Broccoli;42;46;39;47;51;65;59;60;53;218;233;166;233;320;357;393;399;370;0
406;Grønkål;Kale;26;31;31;42;44;40;42;42;56;38;43;42;63;93;77;109;127;169;0
407;Gulerod;Carrot;387;346;349;327;349;371;342;341;328;2054;1864;1988;2081;2045;2237;2296;2567;2620;0
408;Hvidkål;White cabbage;113;108;112;108;93;90;82;72;56;284;273;252;303;266;261;263;220;192;0
410;Knoldselleri;Celeriac;60;38;34;36;37;32;33;38;31;137;89;116;100;119;93;106;97;97;0
411;Løg;Onions;302;260;238;256;260;269;270;231;217;1626;1434;1318;1397;1410;1506;1478;1349;1384;0
412;Pastinak;Parsnip;51;39;37;39;48;40;32;29;30;219;157;181;215;204;174;137;149;130;0
413;Rodpersille;Root parsley;24;28;30;26;31;27;21;24;17;103;121;127;123;169;112;101;119;93;0
415;Porre;Leek;96;84;71;74;77;104;83;74;80;299;300;300;311;316;355;331;324;335;0
417;Rødbede;Beet;85;98;95;92;88;85;75;79;76;344;379;335;352;323;318;303;297;325;0
418;Rødkål;Red cabbage;44;42;56;54;51;48;46;48;54;164;153;176;177;160;187;223;210;200;0
420;Salat (friland);Lettuce;182;177;193;165;181;172;210;195;170;644;629;716;574;516;696;758;659;596;0
421;Savoykål, spidskål;Savoy cabbage, pointed cabbage;32;49;46;47;87;75;69;101;73;72;120;118;143;237;264;279;401;378;0
422;Spinat;Spinach;49;49;42;39;43;45;39;34;53;219;153;172;144;162;164;135;191;239;0
423;Sukkermajs;Sweet corn;153;155;154;156;153;148;154;151;159;313;347;304;351;329;446;426;409;435;0
424;Ærter, konsum;Peas;395;342;367;341;359;374;403;379;408;3030;2403;2764;2282;2832;2960;3283;3100;3428;0
429;Jordskokker, konsum;Jerusalem artichoke;68;61;80;75;76;70;67;70;77;117;107;140;137;136;148;134;124;111;0
430;Bladpersille;Leaf parsley;27;22;21;19;34;27;29;20;9;25;30;25;17;42;34;29;32;6;0
511;Græskar;Pumpkin;66;77;75;105;82;107;113;116;125;96;110;176;254;238;284;278;300;342;0
512;Rabarber;Rhubarb;29;34;30;35;52;54;55;54;62;25;27;33;34;64;63;69;70;86;1
513;Jordbær;Strawberry;825;807;858;900;911;861;840;826;827;1131;1089;1169;1220;1240;1189;1197;1182;1144;1
514;Solbær;Blackcurrant;640;617;595;535;362;254;217;199;181;1882;1822;1690;1560;1108;711;577;505;419;1
515;Ribs;Redcurrant;121;132;105;107;103;103;120;117;108;295;309;257;247;223;216;248;261;240;1
516;Stikkelsbær;Gooseberry;16;16;18;20;27;28;28;23;31;29;35;36;33;35;38;45;40;53;1
518;Hindbær;Raspberry;66;68;67;71;64;71;71;61;73;31;31;30;28;28;30;31;31;32;1
519;Blåbær;Blueberry;46;61;80;71;73;80;83;82;93;45;51;63;67;67;69;76;77;99;1
520;Surkirsebær;Sour cherry;500;350;328;306;282;240;195;160;140;1444;1081;1187;1066;966;827;661;526;479;1
522;Blomme;Plum;82;89;98;92;103;97;101;101;105;63;67;73;64;68;66;69;72;83;1
524;Sødkirsebær;Sweet cherry;0;83;118;137;142;142;142;145;154;0;61;115;154;163;176;183;184;194;1
526;Hyld;Elder;23;18;18;23;27;28;30;65;77;16;14;10;12;12;12;14;55;85;1
527;Hassel;Hazel;29;35;34;32;32;36;43;47;50;22;28;29;28;27;33;36;41;42;1
528;Æbler;Apple;996;1019;1044;1073;1108;1094;1119;1146;1208;1515;1464;1513;1514;1535;1459;1451;1519;1504;1
529;Pærer;Pear;255;247;248;262;246;248;254;238;264;324;277;298;308;302;299;305;294;300;1
530;Vindrue;Wine grape;92;105;101;116;122;146;155;168;187;47;56;53;62;79;83;89;101;112;1
534;Hyben;Rose hip;58;55;53;43;41;41;51;54;44;197;207;159;139;133;115;139;142;138;1
540;Tomater;Tomato;28;21;23;23;19;23;30;27;26;20;10;10;10;9;14;16;8;9;1
541;Agurker;Cucumber;23;23;31;30;24;27;27;30;29;10;8;12;12;6;9;13;15;13;1
