"mean";"min";"max"
"layer";1269.05627788253;122;1707
"clay_000_030";8.1578806878207;0;51.2000007629395
"clay_030_060";10.05491566403;0;62.7000007629395
"clay_060_100";11.2015007594235;0;59.0999984741211
"PAW_000_030";21.8182781399879;3.09999990463257;194.800003051758
"PAW_030_060";21.6628009609582;2.79999995231628;198.899993896484
"PAW_060_100";22.225507523201;3;195.699996948242
"pH_000_030";6.28166761861806;3;8.69999980926514
"pH_030_060";6.28271053437965;2.29999995231628;9.10000038146973
"pH_060_100";6.26453325239983;2.40000009536743;9.60000038146973
"PSC_eq2_000_025_mean";13.1212442395635;2;96
"PSC_eq2_025_050_mean";13.8953193265124;1.70000004768372;94.6999969482422
"PSC_eq2_050_075_mean";12.9041335900507;1.70000004768372;96.5
"PSC_eq2_075_100_mean";10.9418235624221;1.29999995231628;90.0999984741211
"sandc_000_030";39.1690548798577;0;98.5999984741211
"sandc_030_060";40.0841172651712;0;99.0999984741211
"sandc_060_100";39.8251810395609;0;99.6999969482422
"sandf_000_030";42.815900267101;0;95.9000015258789
"sandf_030_060";40.5045800049545;0;98.4000015258789
"sandf_060_100";40.3366115986705;0;96.9000015258789
"silt_000_030";9.65721038358299;0;41.7999992370605
"silt_030_060";9.15618022697082;0;45.7999992370605
"silt_060_100";8.43655354579129;0;36.2999992370605
"slpdeg";1.62126027893374;0;90
"SOM_000_030";4.56968874042337;0;100
"SOM_030_060";4.72228719258572;0;100
"SOM_060_100";5.12529617265194;0;100
"TWI";5.86650621474934;-15.8000001907349;63.2999992370605
"BD_000_030";1.43165739669077;0.389999985694885;1.67999994754791
"BD_030_060";1.45525128939091;0.25;2.04999995231628
"BD_060_100";1.53943918788349;0.340000003576279;1.9099999666214
"dc";2.85644812747243;1;5
"elevation";30.8627183990019;-39.5400009155273;170.529998779297
"geology1";0.0488676290394834;0;1
"geology10";0.10170742652665;0;1
"geology2";0.0217320490722124;0;1
"geology3";0.0256472540665722;0;1
"geology4";0.0628672225384916;0;1
"geology5";0.0175854505332824;0;1
"geology6";0.0761825772416343;0;1
"geology7";0.397001489265459;0;1
"geology8";0.246086400994831;0;1
"geology9";0.00232250072138412;0;1
"landscape1";0.0516261131646752;0;1
"landscape10";0.109824219647711;0;1
"landscape11";0.010632232644145;0;1
"landscape2";0.0731841189024171;0;1
"landscape3";0.0122523942167453;0;1
"landscape4";0.0230253651390128;0;1
"landscape5";0.0538255773178237;0;1
"landscape6";0.425324704614075;0;1
"landscape7";0.107599963444047;0;1
"landscape8";0.016264335113954;0;1
"landscape9";0.116440975795395;0;1
"sagawi";14.4638999194993;6.86999988555908;19.0900001525879
"valldepth";7.53558463418254;0;89.8899993896484
"asp_cos";0.00533515782096043;-1;1
"asp_sin";-0.0271650814138479;-1;1
"RSP";0.17312444488659;0;1
