"mean";"min";"max"
"BIO01_mean_T";8.13145780704559;7.30000019073486;9.39999961853027
"BIO05_max_T";18.8781410961528;17.2999992370605;20.6000003814697
"BIO06_min_T";-3.57605241032657;-5.5;-0.5
"BIO10_meanT_warmest_Q";15.7546375331401;14.8999996185303;17.3999996185303
"BIO11_meanT_coldest_Q";1.06956521000318;-0.300000011920929;2.29999995231628
"BIO12_mean_P";703.735469090372;447;932
"BIO13_P_wettest_M";78.819015465381;50;110
"BIO14_P_driest_M";37.1083343795009;20;52
"ddays";1591.57077914836;1401;1910
"dist_cit_010000";12469.6621221117;0;57054
"dist_cit_100000";54813.020117945;0;171968
"DMI_frostrisk";3.48790769572399;2.44000005722046;4.48999977111816
"DMI_growdays";151.799452498764;146.800003051758;158.899993896484
"DMI_precipitation";385.03323809415;269.299987792969;481.399993896484
"DMI_solar";3078.41297527564;2970;3340
