Kode;Afgrøde
0;Fejlregistrering
1;Vårbyg
2;Vårhvede
3;Vårhavre
4;Blanding af vårsåede arter
5;Majs til modenhed
6;Vårhvede, brødhvede
7;Korn + bælgsæd under 50% bælgsæd
8;Vårspelt
9;Vinterspelt
10;Vinterbyg
11;Vinterhvede
13;Vinterhvede, brødhvede
14;Vinterrug
15;Vinterhybridrug
16;Vintertriticale
17;Blanding af efterårssåede arter
21;Vårraps
22;Vinterraps
23;Rybs
24;Solsikke
25;Sojabønner
30;Ærter
31;Hestebønner
32;Sødlupin
35;Bælgsæd, flerårig blanding
36;Bælgsæd, andre typer til modenhed blanding
40;Oliehør
41;Spindhør
42;Hamp
50;Anden bredbladet afgrøde
51;Blanding bredbladet afgrøde, frø/kerne
52;Quinoa
53;Boghvede
54;Bælgsæd blanding
55;Vårrug
56;Vårtriticale
57;Vinterhavre
58;Sorghum
101;Rajgræsfrø, alm.
102;Rajgræsfrø, alm. 1. år, efterårsudlagt
103;Rajgræsfrø, ital.
104;Rajgræsfrø, ital. 1. år efterårsudlagt
105;Timothefrø
106;Hundegræsfrø
107;Engsvingelfrø
108;Rødsvingelfrø
109;Rajsvingelfrø
110;Svingelfrø, stivbladet
111;Svingelfrø, strand-
112;Engrapgræsfrø (marktype)
113;Engrapsgræsfrø (plænetype)
114;Rapgræsfrø, alm.
115;Hvenefrø, alm. og krybende
116;Rajgræs, hybrid
117;Rajgræs, efterårsudl. hybrid
118;Rajsvingelfrø, efterårsudlagt
120;Kløverfrø
121;Bælgplanter, frø
122;Kommenfrø
123;Valmuefrø
124;Spinatfrø
125;Bederoefrø
126;Blanding af markfrø til udsæd
149;Kartofler, lægge- (certificerede)
150;Kartofler, lægge- (egen opformering)
151;Kartofler, stivelses-
152;Kartofler, spise-
153;Kartofler, andre
160;Sukkerroer til fabrik
161;Cikorierødder
162;Blanding, andre industriafgr.
170;Græs til fabrik (omdrift)
171;Lucerne, slæt
172;Lucernegræs, over 25% græs til slæt inkl. eget foder
173;Kløver til slæt
174;Kløvergræs til fabrik
180;Gul sennep
181;Anden oliefrøart
182;Blanding af oliearter
210;Vårbyg, helsæd
211;Vårhvede, helsæd
212;Vårhavre, helsæd
213;Blandkorn, vårsået, helsæd
214;Korn og bælgsæd, helsæd, under 50% bælgsæd
215;Ærtehelsæd
216;Silomajs
220;Vinterbyg, helsæd
