"value";"sum_152_Tablepotatoes";"sum_400_Gherkin";"sum_401_Aspargus";"sum_403_Cauliflower";"sum_404_Broccoli";"sum_406_Kale";"sum_407_Carrot";"sum_408_Whitecabbage";"sum_410_Celeriac";"sum_411_Onions";"sum_412_Parsnip";"sum_413_Rootparsley";"sum_415_Leek";"sum_417_Beet";"sum_418_Redcabbage";"sum_420_Lettuce";"sum_421_Savoycabbage.pointedcabbage";"sum_422_Spinach";"sum_423_Sweetcorn";"sum_424_Peas";"sum_429_Jerusalemartichoke";"sum_430_Leafparsley";"sum_511_Pumpkin";"sum_512_Rhubarb";"sum_513_Strawberry";"sum_514_Blackcurrant";"sum_515_Redcurrant";"sum_516_Gooseberry";"sum_518_Raspberry";"sum_519_Blueberry";"sum_520_Sourcherry";"sum_522_Plum";"sum_524_Sweetcherry";"sum_526_Elder";"sum_527_Hazel";"sum_528_Apple";"sum_529_Pear";"sum_530_Winegrape";"sum_534_Rosehip";"sum_540_Tomato";"sum_541_Cucumber"
"1";0;25544340;26126484;26127816;26111720;26109343;26124983;25962754;26110930;26123316;26025331;26116085;26120362;26117404;26104873;26116558;26108114;26113403;26117504;26115410;25888119;26124013;26129277;26115316;26130015;26095735;26107298;26126679;26130185;26130583;26130150;26117303;26130096;26129733;26130039;26130750;26113789;26127339;26130134;26128552;26131004;26130947
"2";1;377735;3783;624;12647;18490;5090;139768;17142;5920;78057;14125;10240;5676;22389;12651;9063;15410;11874;9574;217903;4661;1520;11816;168;6613;2652;509;193;83;266;1651;143;328;472;7;1052;415;97;186;15;43
"3";2;137706;487;376;3706;2585;628;25680;2642;1735;25604;690;478;3767;3607;1839;3941;1686;1069;2278;24172;1384;224;2786;120;7675;3596;515;78;82;111;1461;156;222;429;26;1835;226;140;290;7;26
"4";3;42151;187;316;941;266;231;2762;299;114;1907;185;5;1916;201;37;3242;306;490;764;842;465;55;902;137;10681;3519;665;187;80;12;1304;136;149;26;7;717;277;78;348;4;39
"5";4;14558;57;466;728;43;112;99;45;0;123;0;0;1245;15;0;2625;70;131;1054;40;349;8;250;129;7001;5217;510;142;72;32;1356;68;65;16;13;832;319;73;339;7;0
"6";5;5664;44;251;362;107;8;0;27;0;42;0;0;649;0;0;1951;61;17;376;9;131;1;9;206;2470;3372;278;75;30;60;1588;48;31;25;0;1298;423;162;231;0;7
"7";6;3667;33;359;414;44;33;4;0;0;0;0;0;275;0;0;1249;15;0;524;0;47;0;6;58;623;1034;89;54;12;14;1485;56;79;12;0;923;108;59;48;20;5
"8";7;2107;8;158;194;159;0;7;0;0;6;0;0;142;0;0;772;50;0;458;0;23;0;0;85;166;722;99;69;44;55;1231;28;145;2;0;613;362;21;1;8;7
"9";8;1228;2;331;237;48;0;0;0;0;0;0;0;4;0;0;92;84;0;275;0;12;0;0;55;42;1156;329;60;22;17;676;67;333;3;70;657;217;54;77;0;10
"10";9;1929;0;388;136;0;0;11;0;0;15;0;0;7;0;0;36;0;0;372;0;0;0;0;112;79;2519;1412;42;77;368;3030;287;0;61;212;9369;1399;267;1013;20;1
