"Tablepotatoes.code";"Tablepotatoes.name";"Tablepotatoes.mean";"Tablepotatoes.perc";"Gherkin.code";"Gherkin.name";"Gherkin.mean";"Gherkin.perc";"Aspargus.code";"Aspargus.name";"Aspargus.mean";"Aspargus.perc";"Cauliflower.code";"Cauliflower.name";"Cauliflower.mean";"Cauliflower.perc";"Broccoli.code";"Broccoli.name";"Broccoli.mean";"Broccoli.perc";"Kale.code";"Kale.name";"Kale.mean";"Kale.perc";"Carrot.code";"Carrot.name";"Carrot.mean";"Carrot.perc";"Whitecabbage.code";"Whitecabbage.name";"Whitecabbage.mean";"Whitecabbage.perc";"Celeriac.code";"Celeriac.name";"Celeriac.mean";"Celeriac.perc";"Onions.code";"Onions.name";"Onions.mean";"Onions.perc";"Parsnip.code";"Parsnip.name";"Parsnip.mean";"Parsnip.perc";"Rootparsley.code";"Rootparsley.name";"Rootparsley.mean";"Rootparsley.perc";"Leek.code";"Leek.name";"Leek.mean";"Leek.perc";"Beet.code";"Beet.name";"Beet.mean";"Beet.perc";"Redcabbage.code";"Redcabbage.name";"Redcabbage.mean";"Redcabbage.perc";"Lettuce.code";"Lettuce.name";"Lettuce.mean";"Lettuce.perc";"Savoycabbage.pointedcabbage.code";"Savoycabbage.pointedcabbage.name";"Savoycabbage.pointedcabbage.mean";"Savoycabbage.pointedcabbage.perc";"Spinach.code";"Spinach.name";"Spinach.mean";"Spinach.perc";"Sweetcorn.code";"Sweetcorn.name";"Sweetcorn.mean";"Sweetcorn.perc";"Peas.code";"Peas.name";"Peas.mean";"Peas.perc";"Jerusalemartichoke.code";"Jerusalemartichoke.name";"Jerusalemartichoke.mean";"Jerusalemartichoke.perc";"Leafparsley.code";"Leafparsley.name";"Leafparsley.mean";"Leafparsley.perc";"Pumpkin.code";"Pumpkin.name";"Pumpkin.mean";"Pumpkin.perc";"Rhubarb.code";"Rhubarb.name";"Rhubarb.mean";"Rhubarb.perc";"Strawberry.code";"Strawberry.name";"Strawberry.mean";"Strawberry.perc";"Blackcurrant.code";"Blackcurrant.name";"Blackcurrant.mean";"Blackcurrant.perc";"Redcurrant.code";"Redcurrant.name";"Redcurrant.mean";"Redcurrant.perc";"Gooseberry.code";"Gooseberry.name";"Gooseberry.mean";"Gooseberry.perc";"Raspberry.code";"Raspberry.name";"Raspberry.mean";"Raspberry.perc";"Blueberry.code";"Blueberry.name";"Blueberry.mean";"Blueberry.perc";"Sourcherry.code";"Sourcherry.name";"Sourcherry.mean";"Sourcherry.perc";"Plum.code";"Plum.name";"Plum.mean";"Plum.perc";"Sweetcherry.code";"Sweetcherry.name";"Sweetcherry.mean";"Sweetcherry.perc";"Elder.code";"Elder.name";"Elder.mean";"Elder.perc";"Hazel.code";"Hazel.name";"Hazel.mean";"Hazel.perc";"Apple.code";"Apple.name";"Apple.mean";"Apple.perc";"Pear.code";"Pear.name";"Pear.mean";"Pear.perc";"Winegrape.code";"Winegrape.name";"Winegrape.mean";"Winegrape.perc";"Rosehip.code";"Rosehip.name";"Rosehip.mean";"Rosehip.perc";"Tomato.code";"Tomato.name";"Tomato.mean";"Tomato.perc";"Cucumber.code";"Cucumber.name";"Cucumber.mean";"Cucumber.perc"
"67";152;"Kartofler, spise-";-0.0129727145648854;18.0422713444512;400;"Asieagurker";-0.000114804874004942;15.1244294718539;401;"Asparges";7.72697883232954e-07;47.5527684307128;403;"Blomkål";-0.000407793082039575;19.1221275497031;404;"Broccoli";-0.000543282424770771;13.3146674638948;339;"MFO-brak, forårsslåning";-0.000147950568245733;0;407;"Gulerod";-0.00426017053943608;12.989214701986;408;"Hvidkål";-0.000514077502393922;13.4451748945671;410;"Knoldselleri";-0.000193831131114997;14.3116874758656;411;"Løg";-0.00261579165137868;14.3256992643304;412;"Pastinak";-0.000396197512636102;12.2741666666667;413;"Rodpersille";-0.000283555693785638;11.8879977618204;415;"Porre";-0.000241857873922448;24.2708866310942;417;"Rødbede";-0.000674566568119372;12.8424004272852;418;"Rødkål";-0.000375252516697462;12.4853720658085;420;"Salat (friland)";-0.000325396792073495;29.6373688563841;421;"Savoykål, spidskål";-0.000447874329341523;12.2391414998303;422;"Spinat";-0.000350505347727979;12.5469405787497;423;"Sukkermajs";-0.000276347214048448;23.9290271132376;424;"Ærter, konsum";-0.00631854173409339;12.0340397421861;429;"Jordskokker, konsum";-0.000155654706311199;18.2144372171946;430;"Bladpersille";-4.47307950160245e-05;14.6985619469027;511;"Græskar";-0.00038134914844409;13.9656921808612;512;"Rabarber";-1.80257877881141e-07;46.3551401869159;513;"Jordbær";-0.00044215055069294;31.52828854314;514;"Solbær";-4.75481874937435e-05;50.9669147013074;515;"Ribs";2.77108453639378e-05;59.5948706309578;516;"Stikkelsbær";-4.25193802261547e-06;41.1527777777778;518;"Hindbær";-3.3115283448569e-08;46.9870517928287;519;"Blåbær";7.99358372326359e-06;55.2406417112299;520;"Surkirsebær uden undervækst af græs";7.75988257679099e-05;60.987157161515;522;"Blomme uden undervækst af græs";5.89398176625674e-06;54.8281092012133;524;"Sødkirsebær uden undervækst af græs";2.8367508840511e-05;45.9504437869822;339;"MFO-brak, forårsslåning";-5.37488558669482e-06;0;527;"Hassel";9.49319938985683e-06;85.0373134328358;528;"Æbler";0.000321284643456418;74.3148704902868;529;"Pærer";5.07657355049837e-05;67.3818739989322;530;"Vindrue";9.97379269943147e-06;56.1514195583596;534;"Hyben";2.107677990525e-05;63.511646269246;997;"Ikke kontrolleret afgrød";2.88760778022911e-06;0;149;"Kartofler, lægge- (certificerede)";7.59722214836706e-07;0
"291";777;"Ex-non-food brak";-0.0159688883386663;0;777;"Ex-non-food brak";-0.000122254861480538;0;339;"MFO-brak, forårsslåning";-2.55667576976119e-05;0;339;"MFO-brak, forårsslåning";-0.000485299896225934;0;360;"Vildtafgrøder";-0.00060189570295468;0;327;"MFO-bræmme, sommerslåning";-0.000147950580954674;0;149;"Kartofler, lægge- (certificerede)";-0.00482261205843459;0.103813320184636;910;"Ikke anmeldt mark";-0.000589971948977933;0;50;"Anden bredbladet afgrøde";-0.000226803929088074;0;41;"Spindhør";-0.00304505424426539;0;50;"Anden bredbladet afgrøde";-0.000444041067590252;0;508;"Andre af slægten Vaccinium";-0.000316246326488293;0;41;"Spindhør";-0.000334540364095594;0;777;"Ex-non-food brak";-0.000767753877114186;0;997;"Ikke kontrolleret afgrød";-0.000417766084564474;0;997;"Ikke kontrolleret afgrød";-0.000504482274983703;0;149;"Kartofler, lægge- (certificerede)";-0.000464962893451579;0.103212306300192;339;"MFO-brak, forårsslåning";-0.000381335610630628;0;41;"Spindhør";-0.000365032325234737;0;339;"MFO-brak, forårsslåning";-0.00708024107480366;0.000720265386926566;41;"Spindhør";-0.000186579232701819;0;508;"Andre af slægten Vaccinium";-4.84334344462781e-05;0;339;"MFO-brak, forårsslåning";-0.000418062430442217;0;9;"Vinterspelt";-8.12815120730467e-06;0.0700934579439252;508;"Andre af slægten Vaccinium";-0.000760086617987382;0;777;"Ex-non-food brak";-0.00012403944955612;0;777;"Ex-non-food brak";-3.97771476119181e-05;0;339;"MFO-brak, forårsslåning";-1.12370565383612e-05;0;339;"MFO-brak, forårsslåning";-5.00695839748488e-06;0;339;"MFO-brak, forårsslåning";5.67514824294686e-06;0;340;"Randzoneordning, PD uden udtagningsforpligtigelse";-4.40037241395102e-05;0;343;"MFO-bestøverbrak";-4.29558852461047e-06;0.012639029322548;343;"MFO-bestøverbrak";2.748142243279e-05;0.129437869822485;327;"MFO-bræmme, sommerslåning";-5.37488596014126e-06;0;339;"MFO-brak, forårsslåning";4.40306577402647e-06;0;508;"Andre af slægten Vaccinium";-1.04421999870257e-05;0;997;"Ikke kontrolleret afgrød";-1.20155391287373e-05;0;339;"MFO-brak, forårsslåning";9.96431596495938e-06;0;777;"Ex-non-food brak";-8.722048205744e-06;0;920;"Økologisk sommerbra";2.88760777939291e-06;0;360;"Vildtafgrøder";6.40056509540807e-07;0
"255";598;"Sorrel";-0.015968888947254;0;598;"Sorrel";-0.00012225486151796;0;327;"MFO-bræmme, sommerslåning";-2.55667613451076e-05;0;327;"MFO-bræmme, sommerslåning";-0.000485300066711262;0.000645494448747741;997;"Ikke kontrolleret afgrød";-0.000602207768040234;0;343;"MFO-bestøverbrak";-0.000147950589851251;0;339;"MFO-brak, forårsslåning";-0.00482560250897462;0.00259904592736929;41;"Spindhør";-0.000592599714031585;0;508;"Andre af slægten Vaccinium";-0.000227466423436305;0;998;"Ukendt afgrøde";-0.00304505425287563;0;910;"Ikke anmeldt mark";-0.00044580018580608;0;910;"Ikke anmeldt mark";-0.000318857551518529;0;998;"Ukendt afgrøde";-0.000334540364239692;0;598;"Sorrel";-0.000767753878328762;0;920;"Økologisk sommerbra";-0.000417766111460718;0;920;"Økologisk sommerbra";-0.000504482342234831;0;339;"MFO-brak, forårsslåning";-0.000470275018133106;0;327;"MFO-bræmme, sommerslåning";-0.000381335702026646;0.000920403504896547;998;"Ukendt afgrøde";-0.0003650323254239;0;343;"MFO-bestøverbrak";-0.00708026749973728;0;998;"Ukendt afgrøde";-0.000186579232740323;0;41;"Spindhør";-4.88258506753713e-05;0;343;"MFO-bestøverbrak";-0.000418062574729675;0;339;"MFO-brak, forårsslåning";-8.12879690029732e-06;0;41;"Spindhør";-0.000763971069696119;0;598;"Sorrel";-0.000124039450556359;0;598;"Sorrel";-3.97771476462354e-05;0;327;"MFO-bræmme, sommerslåning";-1.12370568148324e-05;0;327;"MFO-bræmme, sommerslåning";-5.00695848349952e-06;0;327;"MFO-bræmme, sommerslåning";5.67514794455419e-06;0;341;"Randzoneordning, Pd med udtagningsforpligtigelse";-4.40037424202264e-05;0;339;"MFO-brak, forårsslåning";-4.29560274586492e-06;0;339;"MFO-brak, forårsslåning";2.74781001686701e-05;0;343;"MFO-bestøverbrak";-5.37488622156313e-06;0;327;"MFO-bræmme, sommerslåning";4.40306573572155e-06;0;149;"Kartofler, lægge- (certificerede)";-1.56715792167368e-05;0;920;"Økologisk sommerbra";-1.20155409171812e-05;0;327;"MFO-bræmme, sommerslåning";9.96431565626695e-06;0;598;"Sorrel";-8.72204821708617e-06;0;498;"Containerplads 4, vedplanter";2.66859823789729e-06;0;247;"Miljøgræs MVJ-tilsagn (0 N), omdrift";6.13983779368495e-07;0
"159";350;"Miljøgræs med N-kvote";-0.0159920741194758;0;41;"Spindhør";-0.000131986268505089;0;343;"MFO-bestøverbrak";-2.55667638984461e-05;0;343;"MFO-bestøverbrak";-0.000485300113824123;0;920;"Økologisk sommerbra";-0.000602207828287695;0;9;"Vinterspelt";-0.000147950590059169;0;327;"MFO-bræmme, sommerslåning";-0.00482560322094586;0.000519809185473858;998;"Ukendt afgrøde";-0.000592599714344328;0;997;"Ikke kontrolleret afgrød";-0.000228306914670595;0;498;"Containerplads 4, vedplanter";-0.00306589359396573;0;181;"Anden oliefrøart";-0.000448491513245398;0.0025;50;"Anden bredbladet afgrøde";-0.000319480254568613;0;498;"Containerplads 4, vedplanter";-0.000340805851592305;0;910;"Ikke anmeldt mark";-0.000773445228707771;0;360;"Vildtafgrøder";-0.000420616664759305;0;498;"Containerplads 4, vedplanter";-0.000513153144769513;0;327;"MFO-bræmme, sommerslåning";-0.000470275163249612;0.000706933604795838;343;"MFO-bestøverbrak";-0.000381335717655267;0;306;"Græs i omdrift, uden udbetaling af økologi-tilskud";-0.000371732131703035;0;9;"Vinterspelt";-0.00708026782937602;0;498;"Containerplads 4, vedplanter";-0.000190375569056239;0;998;"Ukendt afgrøde";-4.8825850677888e-05;0;9;"Vinterspelt";-0.000418062576118206;0;327;"MFO-bræmme, sommerslåning";-8.12879729107747e-06;0;998;"Ukendt afgrøde";-0.000763971070658175;0;340;"Randzoneordning, PD uden udtagningsforpligtigelse";-0.000155615188227193;0.00105099424055156;340;"Randzoneordning, PD uden udtagningsforpligtigelse";-5.00306039570118e-05;0;343;"MFO-bestøverbrak";-1.12370570083692e-05;0;343;"MFO-bestøverbrak";-5.00695854371193e-06;0;343;"MFO-bestøverbrak";5.67514773567182e-06;0;510;"Melon";-4.4003758165753e-05;0;327;"MFO-bræmme, sommerslåning";-4.29560307971964e-06;0;327;"MFO-bræmme, sommerslåning";2.74780995447654e-05;0;9;"Vinterspelt";-5.3748862276727e-06;0;343;"MFO-bestøverbrak";4.40306570890714e-06;0;50;"Anden bredbladet afgrøde";-1.89470898125955e-05;0;498;"Containerplads 4, vedplanter";-1.27891808547083e-05;0;343;"MFO-bestøverbrak";9.96431544017451e-06;0;340;"Randzoneordning, PD uden udtagningsforpligtigelse";-1.86597360356365e-05;0;708;"Grønkorn af vinterhavre";2.66859823788367e-06;0;325;"MFO-Blomsterbrak";6.13983594856555e-07;0
"140";315;"Miljøgræs brugt som udtagning";-0.0159920924563152;0;998;"Ukendt afgrøde";-0.000131986268521386;0;9;"Vinterspelt";-2.5566763958119e-05;0;9;"Vinterspelt";-0.00048530011591815;0;711;"Grønkorn af vintertriticale";-0.000604124121561133;0;338;"Brak, forårsslåning";-0.000147950590226131;0;343;"MFO-bestøverbrak";-0.00482560735210417;0;500;"Buske og træer Planteskoleplanter";-0.000594431830650604;0.100471347060283;920;"Økologisk sommerbra";-0.00022830692236314;0;708;"Grønkorn af vinterhavre";-0.00306589361718861;0;669;"Andet havefrø";-0.000448491530570714;0;181;"Anden oliefrøart";-0.000321203217681213;0;708;"Grønkorn af vinterhavre";-0.000340805851980954;0;665;"Havrerodfrø";-0.000776086488094932;0;498;"Containerplads 4, vedplanter";-0.000422242252495346;0;708;"Grønkorn af vinterhavre";-0.00051315314586519;0;343;"MFO-bestøverbrak";-0.000470275199552222;0;9;"Vinterspelt";-0.000381335718685204;0;498;"Containerplads 4, vedplanter";-0.00037174721836859;0;334;"MFO-bræmme, forårsslåning";-0.00708027005186108;0;708;"Grønkorn af vinterhavre";-0.000190375569160089;0;498;"Containerplads 4, vedplanter";-5.01247749569531e-05;0;338;"Brak, forårsslåning";-0.000418062577233229;0;343;"MFO-bestøverbrak";-8.12879756463338e-06;0;50;"Anden bredbladet afgrøde";-0.000766464600927601;0;341;"Randzoneordning, Pd med udtagningsforpligtigelse";-0.00015561519296738;0;341;"Randzoneordning, Pd med udtagningsforpligtigelse";-5.00306058253595e-05;0;9;"Vinterspelt";-1.12370570128923e-05;0;9;"Vinterspelt";-5.00695854511913e-06;0;9;"Vinterspelt";5.67514773079013e-06;0;350;"Miljøgræs med N-kvote";-5.26607858449595e-05;0;9;"Vinterspelt";-4.29560331888818e-06;0;9;"Vinterspelt";2.74780990978093e-05;0;338;"Brak, forårsslåning";-5.37488623257883e-06;0;9;"Vinterspelt";4.40306570828047e-06;0;343;"MFO-bestøverbrak";-1.93620637419458e-05;0.00433626271970398;708;"Grønkorn af vinterhavre";-1.27891808838462e-05;0;9;"Vinterspelt";9.96431543512431e-06;0;341;"Randzoneordning, Pd med udtagningsforpligtigelse";-1.86597366531395e-05;0;41;"Spindhør";2.44958869638523e-06;0;324;"Blomsterbrak";6.13983587893585e-07;0
"293";910;"Ikke anmeldt mark";-0.0160180208953554;0;498;"Containerplads 4, vedplanter";-0.000132284644409808;0;338;"Brak, forårsslåning";-2.55667640060377e-05;0;338;"Brak, forårsslåning";-0.000485300117599703;0;498;"Containerplads 4, vedplanter";-0.000605394297765985;0;334;"MFO-bræmme, forårsslåning";-0.000147950591460989;0;338;"Brak, forårsslåning";-0.00482560763738781;0;265;"Græs/kløvergræs slæt før vårsåede afgrøder";-0.00059444842201224;0.00744232200446539;663;"Pastinakfrø";-0.000228390828252278;0;420;"Salat (friland)";-0.0030685591055931;2.90520925922424;265;"Græs/kløvergræs slæt før vårsåede afgrøder";-0.000448512018254419;0;669;"Andet havefrø";-0.000321203224508837;0;306;"Græs i omdrift, uden udbetaling af økologi-tilskud";-0.000341654401501991;0;350;"Miljøgræs med N-kvote";-0.000776303790857407;0;708;"Grønkorn af vinterhavre";-0.000422242252933548;0;440;"Solhat";-0.000519156555026879;0;9;"Vinterspelt";-0.000470275201298085;0;338;"Brak, forårsslåning";-0.000381335719512268;0;708;"Grønkorn af vinterhavre";-0.000371747218878786;0;328;"MFO-bræmme med blomsterblanding";-0.00708027123533617;0.000411580221100895;440;"Solhat";-0.000191890218377976;0;708;"Grønkorn af vinterhavre";-5.01247749637408e-05;0;334;"MFO-bræmme, forårsslåning";-0.000418062585479936;0;338;"Brak, forårsslåning";-8.12879757616039e-06;0;118;"Rajsvingelfrø, efterårsudlagt";-0.000766723986308105;0;510;"Melon";-0.000155615239871614;0;510;"Melon";-5.00306074346027e-05;0;338;"Brak, forårsslåning";-1.12370570165244e-05;0;338;"Brak, forårsslåning";-5.00695854624914e-06;0;338;"Brak, forårsslåning";5.67514772687002e-06;0;315;"Miljøgræs brugt som udtagning";-5.26607959619228e-05;0;338;"Brak, forårsslåning";-4.29560332327417e-06;0;338;"Brak, forårsslåning";2.74780990896128e-05;0;334;"MFO-bræmme, forårsslåning";-5.37488626886454e-06;0;338;"Brak, forårsslåning";4.40306570777725e-06;0;327;"MFO-bræmme, sommerslåning";-1.93623591319964e-05;0;41;"Spindhør";-1.3562820827401e-05;0;338;"Brak, forårsslåning";9.96431543106889e-06;0;510;"Melon";-1.86597371850066e-05;0;998;"Ukendt afgrøde";2.44958869638018e-06;0;286;"Permanent græs og kløvergræs uden norm, over 50 % kløver";6.13983587524439e-07;0
"78";181;"Anden oliefrøart";-0.0160571410980795;0.00402645101364306;708;"Grønkorn af vinterhavre";-0.000132284644453765;0;334;"MFO-bræmme, forårsslåning";-2.55667643604446e-05;0;334;"MFO-bræmme, forårsslåning";-0.000485300130036465;0;708;"Grønkorn af vinterhavre";-0.000605394298747555;0;328;"MFO-bræmme med blomsterblanding";-0.000147950592328813;0;334;"MFO-bræmme, forårsslåning";-0.0048256085771122;0;275;"Rullegræs, permanent";-0.000594448586015913;0;669;"Andet havefrø";-0.00022904521298489;0.0032179173638821;997;"Ikke kontrolleret afgrød";-0.00308673154630412;0;500;"Buske og træer Planteskoleplanter";-0.000448512125609326;0;433;"Krydderurt";-0.000322019187270678;0.0279772451739252;710;"Grønkorn af hybridrug";-0.000343460050620816;0;315;"Miljøgræs brugt som udtagning";-0.000776303827452765;0;711;"Grønkorn af vintertriticale";-0.00042265060285104;0;41;"Spindhør";-0.000521823948626533;0;338;"Brak, forårsslåning";-0.000470275202700054;0;334;"MFO-bræmme, forårsslåning";-0.00038133572562923;0;710;"Grønkorn af hybridrug";-0.00037397546257776;0;8;"Vårspelt";-0.00708027218931218;0;50;"Anden bredbladet afgrøde";-0.000192998206297361;0;711;"Grønkorn af vintertriticale";-5.02515840194232e-05;0;328;"MFO-bræmme med blomsterblanding";-0.000418062591275503;0;334;"MFO-bræmme, forårsslåning";-8.12879761413032e-06;0;35;"Bælgsæd, flerårig blanding";-0.000766724078126572;0;350;"Miljøgræs med N-kvote";-0.000179328626004799;0;658;"Gulerodsfrø";-5.29051943365634e-05;0;334;"MFO-bræmme, forårsslåning";-1.12370570433876e-05;0;334;"MFO-bræmme, forårsslåning";-5.0069585546067e-06;0;334;"MFO-bræmme, forårsslåning";5.67514769787685e-06;0;777;"Ex-non-food brak";-5.94016078566879e-05;0;334;"MFO-bræmme, forårsslåning";-4.29560335571297e-06;0;334;"MFO-bræmme, forårsslåning";2.74780990289914e-05;0;328;"MFO-bræmme med blomsterblanding";-5.37488629436518e-06;0;334;"MFO-bræmme, forårsslåning";4.40306570405537e-06;0;339;"MFO-brak, forårsslåning";-1.93624117278922e-05;0.00361355226641998;998;"Ukendt afgrøde";-1.35628208382044e-05;0;334;"MFO-bræmme, forårsslåning";9.96431540107496e-06;0;350;"Miljøgræs med N-kvote";-2.42823616765732e-05;0;440;"Solhat";2.01912109670545e-06;0;434;"Grøntsager, andre (friland)";6.13983587078299e-07;0
"279";669;"Andet havefrø";-0.0160571526498823;0.000724335102983408;997;"Ikke kontrolleret afgrød";-0.000132583017669564;0;328;"MFO-bræmme med blomsterblanding";-2.55667646095123e-05;0;328;"MFO-bræmme med blomsterblanding";-0.00048530013877669;0;434;"Grøntsager, andre (friland)";-0.000605929129611662;0.0747401343022721;8;"Vårspelt";-0.000147950592809174;0;9;"Vinterspelt";-0.00482560914466332;0.0012623937361508;433;"Krydderurt";-0.000594448614680712;0;181;"Anden oliefrøart";-0.000229045240383352;0;920;"Økologisk sommerbra";-0.00308673297169303;0;275;"Rullegræs, permanent";-0.000448512161123399;0;265;"Græs/kløvergræs slæt før vårsåede afgrøder";-0.000322052334513936;0;711;"Grønkorn af vintertriticale";-0.00034397080326824;0;181;"Anden oliefrøart";-0.000777492850602409;0.00763009308713566;505;"Ribs, stiklingeopformering";-0.000423249515421922;0;998;"Ukendt afgrøde";-0.000521823949032772;0;334;"MFO-bræmme, forårsslåning";-0.00047027521306901;0;328;"MFO-bræmme med blomsterblanding";-0.000381335729928069;0;711;"Grønkorn af vintertriticale";-0.000376470799489718;0;338;"Brak, forårsslåning";-0.00708027222677062;0.00056592280401373;711;"Grønkorn af vintertriticale";-0.000193041675343879;0;420;"Salat (friland)";-5.08606083105655e-05;30.1438053097345;327;"MFO-bræmme, sommerslåning";-0.000418062593261246;0.00396347263618492;328;"MFO-bræmme med blomsterblanding";-8.12879764081459e-06;0;498;"Containerplads 4, vedplanter";-0.000767456755398203;0;315;"Miljøgræs brugt som udtagning";-0.000179328656142147;0;350;"Miljøgræs med N-kvote";-5.41815318671888e-05;0;328;"MFO-bræmme med blomsterblanding";-1.12370570622663e-05;0;328;"MFO-bræmme med blomsterblanding";-5.00695856048017e-06;0;328;"MFO-bræmme med blomsterblanding";5.67514767750123e-06;0;598;"Sorrel";-5.94016081924634e-05;0;328;"MFO-bræmme med blomsterblanding";-4.29560337851011e-06;0;328;"MFO-bræmme med blomsterblanding";2.74780989863883e-05;0;8;"Vårspelt";-5.37488630848035e-06;0;328;"MFO-bræmme med blomsterblanding";4.40306570143973e-06;0;9;"Vinterspelt";-1.93624322800565e-05;0;710;"Grønkorn af hybridrug";-1.38594418678369e-05;0;328;"MFO-bræmme med blomsterblanding";9.96431537999603e-06;0;315;"Miljøgræs brugt som udtagning";-2.42823620183134e-05;0;710;"Grønkorn af hybridrug";1.88444243324602e-06;0;285;"Græs og kløvergræs uden norm, over 50 % kløver (omdrift)";6.13983586996598e-07;0
"155";340;"Randzoneordning, PD uden udtagningsforpligtigelse";-0.0160716762226103;0.000340863577874545;920;"Økologisk sommerbra";-0.000132583020367578;0;8;"Vårspelt";-2.55667647473769e-05;0;8;"Vårspelt";-0.000485300143614601;0;247;"Miljøgræs MVJ-tilsagn (0 N), omdrift";-0.000606116671223743;0;342;"Bestøverbrak";-0.000147950592947768;0;328;"MFO-bræmme med blomsterblanding";-0.00482560923752554;0;498;"Containerplads 4, vedplanter";-0.000594596047655959;0;440;"Solhat";-0.000229198660281349;0;710;"Grønkorn af hybridrug";-0.00309013398255438;0;433;"Krydderurt";-0.000448512177000303;0;500;"Buske og træer Planteskoleplanter";-0.000322052389375981;0;701;"Grønkorn af vårbyg";-0.000345168860642933;0.00456837950442219;669;"Andet havefrø";-0.000777493419112833;0;434;"Grøntsager, andre (friland)";-0.000423295809874208;0.0774420045432643;711;"Grønkorn af vintertriticale";-0.000523477878988589;0;328;"MFO-bræmme med blomsterblanding";-0.000470275220356038;0;8;"Vårspelt";-0.000381335732307573;0;701;"Grønkorn af vårbyg";-0.000376959294140329;0.00318979266347687;342;"Bestøverbrak";-0.00708027240904291;0;265;"Græs/kløvergræs slæt før vårsåede afgrøder";-0.000194125897910679;0;360;"Vildtafgrøder";-5.09644500333221e-05;0;8;"Vårspelt";-0.00041806259448348;0;8;"Vårspelt";-8.12879765558493e-06;0;708;"Grønkorn af vinterhavre";-0.000767456757992987;0;181;"Anden oliefrøart";-0.000234168028619217;0.03363181569765;315;"Miljøgræs brugt som udtagning";-5.41815329011748e-05;0;8;"Vårspelt";-1.12370570727161e-05;0;8;"Vårspelt";-5.00695856373128e-06;0;8;"Vårspelt";5.67514766622287e-06;0;181;"Anden oliefrøart";-6.68731958292926e-05;0;8;"Vårspelt";-4.29560339112884e-06;0;8;"Vårspelt";2.74780989628066e-05;0;342;"Bestøverbrak";-5.37488631255287e-06;0;8;"Vårspelt";4.40306569999192e-06;0;338;"Brak, forårsslåning";-1.93624336214831e-05;0;711;"Grønkorn af vintertriticale";-1.39700319995275e-05;0;8;"Vårspelt";9.96431536832836e-06;0;910;"Ikke anmeldt mark";-2.72422070920494e-05;0;711;"Grønkorn af vintertriticale";1.70107009533789e-06;0;361;"Ikke støtteberettiget landbrugsareal";6.13983586684508e-07;0
"156";341;"Randzoneordning, Pd med udtagningsforpligtigelse";-0.0160717038775498;0.000170431788937273;340;"Randzoneordning, PD uden udtagningsforpligtigelse";-0.000132970691251353;0;342;"Bestøverbrak";-2.55667647871537e-05;0;342;"Bestøverbrak";-0.000485300145010439;0;323;"MFO-udyrket areal ved vandboring";-0.000606121250576264;0.00114984822003496;329;"MFO-bræmme, miljøtilsagn";-0.000147950592958792;0;8;"Vårspelt";-0.00482560960307919;0;708;"Grønkorn af vinterhavre";-0.000594596048499465;0;320;"Braklagte randzoner";-0.000229348821462213;0;711;"Grønkorn af vintertriticale";-0.00309040701793002;0;41;"Spindhør";-0.000448594749108065;0;275;"Rullegræs, permanent";-0.000322052407524892;0;308;"MFO-brak, sommerslåning";-0.00034516940162133;0.193699290987501;265;"Græs/kløvergræs slæt før vårsåede afgrøder";-0.000777504270648564;0;247;"Miljøgræs MVJ-tilsagn (0 N), omdrift";-0.00042331996974384;0;360;"Vildtafgrøder";-0.000524304737933396;0;8;"Vårspelt";-0.000470275224389572;0;342;"Bestøverbrak";-0.000381335732994109;0;308;"MFO-brak, sommerslåning";-0.000376960052001727;0.187400318979266;329;"MFO-bræmme, miljøtilsagn";-0.00708027242652144;0;500;"Buske og træer Planteskoleplanter";-0.000194125921773616;0;433;"Krydderurt";-5.10601425850622e-05;0.656803097345133;342;"Bestøverbrak";-0.000418062595409048;0;342;"Bestøverbrak";-8.12879765984647e-06;0;711;"Grønkorn af vintertriticale";-0.000768628860202844;0;669;"Andet havefrø";-0.000234174212587057;0;360;"Vildtafgrøder";-5.46801174228342e-05;0;342;"Bestøverbrak";-1.12370570757311e-05;0;342;"Bestøverbrak";-5.00695856466928e-06;0;342;"Bestøverbrak";5.67514766296882e-06;0;669;"Andet havefrø";-6.68732071080555e-05;0;342;"Bestøverbrak";-4.29560339476959e-06;0;342;"Bestøverbrak";2.74780989560027e-05;0;329;"MFO-bræmme, miljøtilsagn";-5.37488631287682e-06;0;342;"Bestøverbrak";4.4030656995742e-06;0;334;"MFO-bræmme, forårsslåning";-1.93624435426705e-05;0;507;"Hindbær, stiklingeopformering";-1.3973525786807e-05;0;342;"Bestøverbrak";9.964315364962e-06;0;181;"Anden oliefrøart";-2.75810113568841e-05;0;540;"Tomater";1.64079855919638e-06;55.5555555555556;487;"Skovlandbrug";6.13983586564701e-07;0
