"Tablepotatoes.code";"Tablepotatoes.name";"Tablepotatoes.mean";"Gherkin.code";"Gherkin.name";"Gherkin.mean";"Aspargus.code";"Aspargus.name";"Aspargus.mean";"Cauliflower.code";"Cauliflower.name";"Cauliflower.mean";"Broccoli.code";"Broccoli.name";"Broccoli.mean";"Kale.code";"Kale.name";"Kale.mean";"Carrot.code";"Carrot.name";"Carrot.mean";"Whitecabbage.code";"Whitecabbage.name";"Whitecabbage.mean";"Celeriac.code";"Celeriac.name";"Celeriac.mean";"Onions.code";"Onions.name";"Onions.mean";"Parsnip.code";"Parsnip.name";"Parsnip.mean";"Rootparsley.code";"Rootparsley.name";"Rootparsley.mean";"Leek.code";"Leek.name";"Leek.mean";"Beet.code";"Beet.name";"Beet.mean";"Redcabbage.code";"Redcabbage.name";"Redcabbage.mean";"Lettuce.code";"Lettuce.name";"Lettuce.mean";"Savoycabbage.pointedcabbage.code";"Savoycabbage.pointedcabbage.name";"Savoycabbage.pointedcabbage.mean";"Spinach.code";"Spinach.name";"Spinach.mean";"Sweetcorn.code";"Sweetcorn.name";"Sweetcorn.mean";"Peas.code";"Peas.name";"Peas.mean";"Jerusalemartichoke.code";"Jerusalemartichoke.name";"Jerusalemartichoke.mean";"Leafparsley.code";"Leafparsley.name";"Leafparsley.mean";"Pumpkin.code";"Pumpkin.name";"Pumpkin.mean";"Rhubarb.code";"Rhubarb.name";"Rhubarb.mean";"Strawberry.code";"Strawberry.name";"Strawberry.mean";"Blackcurrant.code";"Blackcurrant.name";"Blackcurrant.mean";"Redcurrant.code";"Redcurrant.name";"Redcurrant.mean";"Gooseberry.code";"Gooseberry.name";"Gooseberry.mean";"Raspberry.code";"Raspberry.name";"Raspberry.mean";"Blueberry.code";"Blueberry.name";"Blueberry.mean";"Sourcherry.code";"Sourcherry.name";"Sourcherry.mean";"Plum.code";"Plum.name";"Plum.mean";"Sweetcherry.code";"Sweetcherry.name";"Sweetcherry.mean";"Elder.code";"Elder.name";"Elder.mean";"Hazel.code";"Hazel.name";"Hazel.mean";"Apple.code";"Apple.name";"Apple.mean";"Pear.code";"Pear.name";"Pear.mean";"Winegrape.code";"Winegrape.name";"Winegrape.mean";"Rosehip.code";"Rosehip.name";"Rosehip.mean";"Tomato.code";"Tomato.name";"Tomato.mean";"Cucumber.code";"Cucumber.name";"Cucumber.mean"
"101";410;"Knoldselleri";0.121108534568027;400;"Asieagurker";0.108108653420488;401;"Asparges";0.0876801906479378;403;"Blomkål";0.198926435030676;404;"Broccoli";0.0914772268687978;406;"Grønkål";0.13061604501372;417;"Rødbede";0.0412192789273951;408;"Hvidkål";0.0563417551170087;410;"Knoldselleri";0.127273321451595;420;"Salat (friland)";0.0738513332142702;663;"Pastinakfrø";0.0273459661720831;417;"Rødbede";0.0147419789801889;415;"Porre";0.230725074650786;413;"Rodpersille";0.0918870617486543;410;"Knoldselleri";0.0184807022356242;420;"Salat (friland)";0.239036382886377;421;"Savoykål, spidskål";0.112961228932283;420;"Salat (friland)";0.0586894526758844;423;"Sukkermajs";0.239971583745908;423;"Sukkermajs";0.0473482621526569;429;"Jordskokker, konsum";0.159037587240302;430;"Bladpersille";0.0779397274956345;511;"Græskar";0.0903690413039263;512;"Rabarber";0.102399445943458;513;"Jordbær";0.215547043658581;514;"Solbær";0.169341278356719;515;"Ribs";0.0901571792219948;516;"Stikkelsbær";0.120773900890891;518;"Hindbær";0.148071257413099;519;"Blåbær";0.0806788961790279;520;"Surkirsebær uden undervækst af græs";0.152765730586607;522;"Blomme uden undervækst af græs";0.100849278862459;524;"Sødkirsebær uden undervækst af græs";0.0830657530650035;526;"Hyld";0.131928488740627;527;"Hassel";0.0235349219588534;528;"Æbler";0.0701038391325631;529;"Pærer";0.0968430838288893;530;"Vindrue";0.0847120282652304;534;"Hyben";0.0952784933511593;540;"Tomater";0.171056708360696;541;"Agurker";0.188807911124733
"108";418;"Rødkål";0.113126924477468;405;"Courgette, squash";0.0635515681415337;434;"Grøntsager, andre (friland)";0.012227557154882;415;"Porre";0.100352376621604;415;"Porre";0.0354613694742802;430;"Bladpersille";0.0391875147412842;407;"Gulerod";0.0353232309846209;162;"Blanding, andre industriafgr.";0.0190774934628845;656;"Bladbedefrø, rødbedefrø";0.0234654329271478;411;"Løg";0.0713822903491513;417;"Rødbede";0.0109604059600513;412;"Pastinak";0.00700186359921546;403;"Blomkål";0.0284772942148773;412;"Pastinak";0.081945687704578;432;"Krydderurter (undtagen persille og purløg)";0.0169139959709166;422;"Spinat";0.167754581808669;409;"Kinakål";0.0939416633756862;433;"Krydderurt";0.0517374925387559;511;"Græskar";0.0844753902441112;421;"Savoykål, spidskål";0.0323090293580108;281;"Kålroer";0.0546931252635027;433;"Krydderurt";0.0556318475552725;405;"Courgette, squash";0.0639170732065558;545;"Potteplanter";0.0138633089415735;434;"Grøntsager, andre (friland)";0.0376280583630659;504;"Solbær, stiklingeopformering";0.037241012275668;505;"Ribs, stiklingeopformering";0.0838066584288575;518;"Hindbær";0.0144487953608295;517;"Brombær";0.0301925421484794;531;"Anden træfrugt";0.0235003451757222;504;"Solbær, stiklingeopformering";0.026539646311439;531;"Anden træfrugt";0.0118039607565503;533;"Rønnebær";0.017696222954193;507;"Hindbær, stiklingeopformering";0.0197398323732407;531;"Anden træfrugt";0.00492201396994429;539;"Blandet frugt";0.0617330620983255;528;"Æbler";0.00919216833947908;531;"Anden træfrugt";0.00947380816275457;532;"Anden buskfrugt";0.0666990174563623;541;"Agurker";0.125238080128226;540;"Tomater";0.0978294563517623
"42";152;"Kartofler, spise-";0.108763076097715;511;"Græskar";0.0128292474002178;423;"Sukkermajs";0.0035034059976343;409;"Kinakål";0.0600117824439592;420;"Salat (friland)";0.0293722562590399;402;"Bladselleri";0.0388914866737062;431;"Purløg";0.029818101617289;415;"Porre";0.0177565635448954;416;"Rosenkål";0.0157008811222529;511;"Græskar";0.0549710227485441;406;"Grønkål";0.0106708049015315;173;"Kløver til slæt";0.00685909894445909;434;"Grøntsager, andre (friland)";0.0219514676935144;162;"Blanding, andre industriafgr.";0.0385678934172689;434;"Grøntsager, andre (friland)";0.0153578159310464;430;"Bladpersille";0.166740971961929;420;"Salat (friland)";0.0205707791174943;422;"Spinat";0.0481095690823797;400;"Asieagurker";0.0505168011239976;405;"Courgette, squash";0.0297197115274851;402;"Bladselleri";0.0498110866735624;448;"Medicinpl., en- og toårige";0.0209022636021929;423;"Sukkermajs";0.0445328938721871;651;"Dildfrø";0.00730323017091235;431;"Purløg";0.0209321215176936;516;"Stikkelsbær";0.0358310940615654;509;"Trækvæde";0.0239611891123877;532;"Anden buskfrugt";0.0108766857084374;516;"Stikkelsbær";0.0213621875352037;509;"Trækvæde";0.0144323549685389;522;"Blomme uden undervækst af græs";0.0220597222467031;518;"Hindbær";0.00478916670060982;520;"Surkirsebær uden undervækst af græs";0.0155914281208287;489;"Havtorn";0.0184199624344998;234;"Korn og bælgsæd, grønkorn, under 50% bælgsæd";0.000547464019233541;536;"Spisedruer";0.0573592601478325;522;"Blomme uden undervækst af græs";0.00461652262907679;532;"Anden buskfrugt";0.00899472053655205;449;"Medicinpl., stauder ";0.0172313619852918;450;"Grøntsager, blandinger";0.00258512266638203;123;"Valmuefrø";0.015840069792564
"107";417;"Rødbede";0.0947470062239532;423;"Sukkermajs";0.0103666743510813;511;"Græskar";0.00313673973628538;404;"Broccoli";0.0247912344858104;403;"Blomkål";0.0268476350408677;429;"Jordskokker, konsum";0.0217599845188747;412;"Pastinak";0.0277171599844333;418;"Rødkål";0.0153482078900825;162;"Blanding, andre industriafgr.";0.0148241814616868;433;"Krydderurt";0.0538694813278716;173;"Kløver til slæt";0.00816851832931823;410;"Knoldselleri";0.00449037062510946;921;"Bar jord";0.0206144520284431;410;"Knoldselleri";0.0349649747363469;418;"Rødkål";0.0130775169212571;402;"Bladselleri";0.126862823686772;415;"Porre";0.0188797316304262;430;"Bladpersille";0.0433925324093157;405;"Courgette, squash";0.0315762493900162;513;"Jordbær";0.0204555062035372;283;"Fodergulerødder";0.0349500359951387;422;"Spinat";0.0204949056557805;400;"Asieagurker";0.0316485381522285;431;"Purløg";0.00335478302585062;405;"Courgette, squash";0.0201189173207345;515;"Ribs";0.022656312082735;532;"Anden buskfrugt";0.00774197761577186;514;"Solbær";0.00332896674278243;532;"Anden buskfrugt";0.0123183147378875;532;"Anden buskfrugt";0.0124475814010808;524;"Sødkirsebær uden undervækst af græs";0.019150118194593;281;"Kålroer";0.00215820108147086;536;"Spisedruer";0.012799940345442;921;"Bar jord";0.0133503051136363;524;"Sødkirsebær uden undervækst af græs";0.00029307913837554;531;"Anden træfrugt";0.033751197843341;181;"Anden oliefrøart";0.00100528179658397;539;"Blandet frugt";0.00342127777437813;539;"Blandet frugt";0.00799072285566025;545;"Potteplanter";0.00133291005899448;450;"Grøntsager, blandinger";0.00100687909548708
"128";511;"Græskar";0.0742655751851194;416;"Rosenkål";0.00619931184114513;512;"Rabarber";0.002423699313886;421;"Savoykål, spidskål";0.0210953685577063;418;"Rødkål";0.0161491125745459;544;"Snitblomster og snitgrønt";0.0214711548884698;415;"Porre";0.0272254381730843;421;"Savoykål, spidskål";0.0130782193404978;421;"Savoykål, spidskål";0.00950150828879884;281;"Kålroer";0.0508002414574599;404;"Broccoli";0.00678836931623852;415;"Porre";0.00361314781705788;408;"Hvidkål";0.0183838124956091;418;"Rødkål";0.0175560108420215;404;"Broccoli";0.00991331336539989;404;"Broccoli";0.0873129816209386;411;"Løg";0.0165678725756129;406;"Grønkål";0.0411975063300382;651;"Dildfrø";0.029150386989343;404;"Broccoli";0.0152813129312076;162;"Blanding, andre industriafgr.";0.0289355770990534;432;"Krydderurter (undtagen persille og purløg)";0.0125548388091361;402;"Bladselleri";0.0277132353680247;281;"Kålroer";0.00266588498690679;501;"Stauder";0.0166419711629225;519;"Blåbær";0.0117531518930228;514;"Solbær";0.00700063311786041;519;"Blåbær";0.00269788664779537;519;"Blåbær";0.00209093253459182;517;"Brombær";0.0123184673034409;493;"Surbær ";0.0101575174591119;520;"Surkirsebær uden undervækst af græs";0.00206843678356553;526;"Hyld";0.00399499236060883;434;"Grøntsager, andre (friland)";0.00335243311770591;325;"MFO-Blomsterbrak";0.000247229191964519;529;"Pærer";0.0322960532551606;513;"Jordbær";0.000918009115475304;544;"Snitblomster og snitgrønt";0.00200731974404623;660;"Persillefrø";0.00694650281797745;400;"Asieagurker";0.000664597787727794;513;"Jordbær";0.000100982949571381
"122";450;"Grøntsager, blandinger";0.0734276412489204;540;"Tomater";0.00245182911332583;400;"Asieagurker";0.00170973614822791;434;"Grøntsager, andre (friland)";0.0115048580969942;405;"Courgette, squash";0.0152841889358992;416;"Rosenkål";0.0189898801655149;404;"Broccoli";0.0246195584700578;431;"Purløg";0.0130704202347441;404;"Broccoli";0.0094324053760491;421;"Savoykål, spidskål";0.0481331979215368;413;"Rodpersille";0.00604584310401581;420;"Salat (friland)";0.00283112193462729;421;"Savoykål, spidskål";0.0162365652534756;173;"Kløver til slæt";0.0172513098483295;411;"Løg";0.00839123259913705;421;"Savoykål, spidskål";0.0776809377026767;410;"Knoldselleri";0.0156634004884929;402;"Bladselleri";0.0311017132615101;500;"Buske og træer Planteskoleplanter";0.0138338113834479;403;"Blomkål";0.0144217465750637;406;"Grønkål";0.0162034596379366;420;"Salat (friland)";0.00907870511370849;421;"Savoykål, spidskål";0.0138693171661005;450;"Grøntsager, blandinger";0.00145417066811486;450;"Grøntsager, blandinger";0.0145329053265077;532;"Anden buskfrugt";0.00749719553346005;517;"Brombær";0.00436410123738381;515;"Ribs";0.000760242940800011;434;"Grøntsager, andre (friland)";0.00192308394755032;518;"Hindbær";0.0057168605112971;530;"Vindrue";0.00412048014722575;539;"Blandet frugt";0.00152625729846061;522;"Blomme uden undervækst af græs";0.00254863929844647;532;"Anden buskfrugt";0.00213848308569367;532;"Anden buskfrugt";0.000186309008279635;532;"Anden buskfrugt";0.0270012348064366;531;"Anden træfrugt";0.000629974272008673;520;"Surkirsebær uden undervækst af græs";0.000170296810000807;524;"Sødkirsebær uden undervækst af græs";0.000105588967763297;434;"Grøntsager, andre (friland)";0.000180053716520619;267;"Græs  under 50% kløver/lucerne, meget lavt udbytte (omdrift)";1.7859341546694e-05
"118";433;"Krydderurt";0.065712889858943;406;"Grønkål";0.00157196678925262;450;"Grøntsager, blandinger";0.00140446524621312;660;"Persillefrø";0.0104214827760494;421;"Savoykål, spidskål";0.0110451873093115;420;"Salat (friland)";0.0134469709585689;411;"Løg";0.0160039238544757;434;"Grøntsager, andre (friland)";0.0125337537105127;408;"Hvidkål";0.00911804329974237;408;"Hvidkål";0.0409719134664884;405;"Courgette, squash";0.00581366770958224;403;"Blomkål";0.0023654352901153;420;"Salat (friland)";0.00814075764719666;417;"Rødbede";0.0148830916731732;400;"Asieagurker";0.00681633319897207;406;"Grønkål";0.0692070238192835;403;"Blomkål";0.0108752575448893;432;"Krydderurter (undtagen persille og purløg)";0.0156022014259909;408;"Hvidkål";0.0119405599751877;181;"Anden oliefrøart";0.0140953498048104;412;"Pastinak";0.0121124464168914;434;"Grøntsager, andre (friland)";0.00820857544874039;411;"Løg";0.0122077440724531;434;"Grøntsager, andre (friland)";0.000942788685386896;544;"Snitblomster og snitgrønt";0.0136589109767747;539;"Blandet frugt";0.00661305616141316;516;"Stikkelsbær";0.00313645251740842;512;"Rabarber";0.000305933655749405;522;"Blomme uden undervækst af græs";0.0015824025723756;493;"Surbær ";0.00502784942397537;529;"Pærer";0.00197171159762219;528;"Æbler";0.00120567425310784;531;"Anden træfrugt";0.00165900021262765;531;"Anden træfrugt";0.000708510334726338;519;"Blåbær";0.000153488038134448;522;"Blomme uden undervækst af græs";0.0157182141338322;532;"Anden buskfrugt";0.000610393029499168;434;"Grøntsager, andre (friland)";0.000145154218321823;268;"Græs under 50% kløver/lucerne, lavt udbytte (omdrift)";-2.13341759652025e-05;152;"Kartofler, spise-";-1.27103299489557e-06;7;"Korn + bælgsæd under 50% bælgsæd";1.58391230420127e-05
"98";407;"Gulerod";0.0632229467253234;421;"Savoykål, spidskål";0.00153430858183332;656;"Bladbedefrø, rødbedefrø";0.00096486611369888;400;"Asieagurker";0.00663443569778508;411;"Løg";0.0106175779416555;410;"Knoldselleri";0.0122161318300818;413;"Rodpersille";0.0139441265024409;173;"Kløver til slæt";0.0116707190830665;434;"Grøntsager, andre (friland)";0.00895081793897707;417;"Rødbede";0.0396169181346112;403;"Blomkål";0.00484150422235485;407;"Gulerod";0.00199111693893486;410;"Knoldselleri";0.00743548516449481;416;"Rosenkål";0.0136912138239891;511;"Græskar";0.00561070967612789;409;"Kinakål";0.0638560154670594;434;"Grøntsager, andre (friland)";0.0107118320077711;450;"Grøntsager, blandinger";0.0133402054999949;406;"Grønkål";0.0112442843261366;655;"Radisefrø (inklusiv olieræddikefrø)";0.013920009556341;328;"MFO-bræmme med blomsterblanding";0.00869047603185208;405;"Courgette, squash";0.00494811201088922;406;"Grønkål";0.0114577141186566;265;"Græs/kløvergræs slæt før vårsåede afgrøder";0.000556018753860947;423;"Sukkermajs";0.01348904016482;517;"Brombær";0.00439881871425973;539;"Blandet frugt";0.00305641407680793;450;"Grøntsager, blandinger";8.0990880070654e-05;530;"Vindrue";0.000723906042977462;516;"Stikkelsbær";0.00148222450919535;531;"Anden træfrugt";0.00136745589521568;524;"Sødkirsebær uden undervækst af græs";0.00119318549490549;528;"Æbler";0.00116462382411379;593;"Poppel (0-100 andre træer pr. ha)";0.000295458578151694;513;"Jordbær";5.62298371963006e-06;526;"Hyld";0.013748493593238;539;"Blandet frugt";0.000547136934460024;514;"Solbær";8.22679948470925e-05;264;"Græs og kløvergræs uden norm, under 50 % kløver (omdrift)";-3.5096583832361e-05;255;"Permanent græs, under 50% kløver/lucerne";-2.61480903226524e-06;264;"Græs og kløvergræs uden norm, under 50 % kløver (omdrift)";9.26246173485099e-06
"104";413;"Rodpersille";0.0627825908509161;403;"Blomkål";0.00149063880102422;411;"Løg";0.000785399100586193;418;"Rødkål";0.00458911346114677;434;"Grøntsager, andre (friland)";0.0083804113796946;434;"Grøntsager, andre (friland)";0.00887388590662663;9;"Vinterspelt";0.01149950592407;422;"Spinat";0.00942430947359662;400;"Asieagurker";0.00710771764476796;404;"Broccoli";0.0384063649354518;434;"Grøntsager, andre (friland)";0.00426877479389626;413;"Rodpersille";0.00117858263225934;450;"Grøntsager, blandinger";0.00619836022816516;407;"Gulerod";0.011663191263639;421;"Savoykål, spidskål";0.00553784174546153;281;"Kålroer";0.0591691117692741;408;"Hvidkål";0.010172283312175;410;"Knoldselleri";0.0108929151463015;502;"Blomsterløg";0.00779514422074792;434;"Grøntsager, andre (friland)";0.0118871789921063;450;"Grøntsager, blandinger";0.00663959504909894;402;"Bladselleri";0.00365201870582517;410;"Knoldselleri";0.0113406341117615;406;"Grønkål";0.000500705095034022;281;"Kålroer";0.0134608691047897;518;"Hindbær";0.00322091255200204;181;"Anden oliefrøart";0.00235345768069126;429;"Jordskokker, konsum";6.23460010918894e-05;513;"Jordbær";0.000485440281209027;410;"Knoldselleri";0.00131278683510265;528;"Æbler";0.000497607202702849;529;"Pærer";0.00084487972607089;261;"Kløvergræs, over 50% kløver (omdrift)";0.00101461366849804;172;"Lucernegræs, over 25% græs til slæt inkl. eget foder";0.000290491288483884;583;"Juletræer og pyntegrønt på landbrugsjord";-4.97781382969132e-07;181;"Anden oliefrøart";0.00642452965083099;520;"Surkirsebær uden undervækst af græs";0.000410884541339794;310;"Brak, sommerslåning";5.63043451157858e-05;520;"Surkirsebær uden undervækst af græs";-4.56915405652459e-05;11;"Vinterhvede";-3.81545487087329e-06;250;"Permanent græs, meget lavt udbytte";8.89909089686257e-06
"119";434;"Grøntsager, andre (friland)";0.0589106808648409;512;"Rabarber";0.00118938698841284;530;"Vindrue";0.000671013803137743;410;"Knoldselleri";0.00386970218634494;56;"Vårtriticale";0.00613400354577353;405;"Courgette, squash";0.00742394195056024;152;"Kartofler, spise-";0.0113255763746539;410;"Knoldselleri";0.00782954899924284;417;"Rødbede";0.00687214727233707;409;"Kinakål";0.0376670713410027;408;"Hvidkål";0.00422279290359121;432;"Krydderurter (undtagen persille og purløg)";0.000809148237200386;432;"Krydderurter (undtagen persille og purløg)";0.00425612582622815;406;"Grønkål";0.0113597994527076;500;"Buske og træer Planteskoleplanter";0.0048349221000641;411;"Løg";0.0343177269808263;422;"Spinat";0.00998606707249552;434;"Grøntsager, andre (friland)";0.00624218015187709;421;"Savoykål, spidskål";0.00759225456245944;17;"Blanding af efterårssåede arter";0.0112968047764155;400;"Asieagurker";0.00478782358785639;450;"Grøntsager, blandinger";0.00226019615520844;518;"Hindbær";0.00954098456224889;405;"Courgette, squash";0.00034773975675493;518;"Hindbær";0.0117168859190791;530;"Vindrue";0.0021299438733883;518;"Hindbær";0.000322601377832367;403;"Blomkål";4.05132907963332e-05;511;"Græskar";0.000469133800073595;514;"Solbær";0.00129319286765047;539;"Blandet frugt";0.000142826400337144;172;"Lucernegræs, over 25% græs til slæt inkl. eget foder";0.000478083102021969;434;"Grøntsager, andre (friland)";0.000413921981369476;528;"Æbler";0.000140430096666283;260;"Græs med kløver/lucerne, under 50 % bælgpl. (omdrift)";-7.16327023347479e-06;518;"Hindbær";0.00285646283025461;423;"Sukkermajs";0.000304988727446578;266;"Græs under 50% kløver/lucerne, ekstremt lavt udbytte (omdrift)";4.8271572602081e-05;215;"Ærtehelsæd";-4.93081705322033e-05;NA;NA;NA;310;"Brak, sommerslåning";-3.21043865404129e-07
