Tablepotatoes.code;Tablepotatoes.name;Tablepotatoes.mean;Tablepotatoes.perc;Gherkin.code;Gherkin.name;Gherkin.mean;Gherkin.perc;Aspargus.code;Aspargus.name;Aspargus.mean;Aspargus.perc;Cauliflower.code;Cauliflower.name;Cauliflower.mean;Cauliflower.perc;Broccoli.code;Broccoli.name;Broccoli.mean;Broccoli.perc;Kale.code;Kale.name;Kale.mean;Kale.perc;Carrot.code;Carrot.name;Carrot.mean;Carrot.perc;Whitecabbage.code;Whitecabbage.name;Whitecabbage.mean;Whitecabbage.perc;Celeriac.code;Celeriac.name;Celeriac.mean;Celeriac.perc;Onions.code;Onions.name;Onions.mean;Onions.perc;Parsnip.code;Parsnip.name;Parsnip.mean;Parsnip.perc;Rootparsley.code;Rootparsley.name;Rootparsley.mean;Rootparsley.perc;Leek.code;Leek.name;Leek.mean;Leek.perc;Beet.code;Beet.name;Beet.mean;Beet.perc;Redcabbage.code;Redcabbage.name;Redcabbage.mean;Redcabbage.perc;Lettuce.code;Lettuce.name;Lettuce.mean;Lettuce.perc;Savoycabbage.pointedcabbage.code;Savoycabbage.pointedcabbage.name;Savoycabbage.pointedcabbage.mean;Savoycabbage.pointedcabbage.perc;Spinach.code;Spinach.name;Spinach.mean;Spinach.perc;Sweetcorn.code;Sweetcorn.name;Sweetcorn.mean;Sweetcorn.perc;Peas.code;Peas.name;Peas.mean;Peas.perc;Jerusalemartichoke.code;Jerusalemartichoke.name;Jerusalemartichoke.mean;Jerusalemartichoke.perc;Leafparsley.code;Leafparsley.name;Leafparsley.mean;Leafparsley.perc;Pumpkin.code;Pumpkin.name;Pumpkin.mean;Pumpkin.perc;Rhubarb.code;Rhubarb.name;Rhubarb.mean;Rhubarb.perc;Strawberry.code;Strawberry.name;Strawberry.mean;Strawberry.perc;Blackcurrant.code;Blackcurrant.name;Blackcurrant.mean;Blackcurrant.perc;Redcurrant.code;Redcurrant.name;Redcurrant.mean;Redcurrant.perc;Gooseberry.code;Gooseberry.name;Gooseberry.mean;Gooseberry.perc;Raspberry.code;Raspberry.name;Raspberry.mean;Raspberry.perc;Blueberry.code;Blueberry.name;Blueberry.mean;Blueberry.perc;Sourcherry.code;Sourcherry.name;Sourcherry.mean;Sourcherry.perc;Plum.code;Plum.name;Plum.mean;Plum.perc;Sweetcherry.code;Sweetcherry.name;Sweetcherry.mean;Sweetcherry.perc;Elder.code;Elder.name;Elder.mean;Elder.perc;Hazel.code;Hazel.name;Hazel.mean;Hazel.perc;Apple.code;Apple.name;Apple.mean;Apple.perc;Pear.code;Pear.name;Pear.mean;Pear.perc;Winegrape.code;Winegrape.name;Winegrape.mean;Winegrape.perc;Rosehip.code;Rosehip.name;Rosehip.mean;Rosehip.perc;Tomato.code;Tomato.name;Tomato.mean;Tomato.perc;Cucumber.code;Cucumber.name;Cucumber.mean;Cucumber.perc;
67;152;Kartofler, spise-;9.0E-05;13.9;777;Ex-non-food brak;9.64E-07;0;401;Asparges;4.84E-05;83.01909794;403;Blomkål;1.27E-05;28.88654873;777;Ex-non-food brak;6.80E-06;0;406;Grønkål;1.35E-06;15.24024052;340;Randzoneordning, PD uden udtagningsforpligtigelse;1.76E-05;0;777;Ex-non-food brak;6.14E-06;0;410;Knoldselleri;1.37E-06;16.58720754;777;Ex-non-food brak;9.45E-06;0;340;Randzoneordning, PD uden udtagningsforpligtigelse;1.51E-06;0;340;Randzoneordning, PD uden udtagningsforpligtigelse;1.42E-06;0;415;Porre;1.95E-05;38.32292012;777;Ex-non-food brak;5.64E-06;0;340;Randzoneordning, PD uden udtagningsforpligtigelse;1.87E-06;0;420;Salat (friland);4.72E-05;42.75843268;421;Savoykål, spidskål;1.53E-06;10.85702361;420;Salat (friland);1.29E-06;24.73543209;423;Sukkermajs;3.01E-05;44.25600492;340;Randzoneordning, PD uden udtagningsforpligtigelse;1.45E-05;0.008500799;429;Jordskokker, konsum;2.80E-06;20.55222877;340;Randzoneordning, PD uden udtagningsforpligtigelse;1.50E-06;0;41;Spindhør;2.59E-06;0;512;Rabarber;1.51E-05;79.09448513;513;Jordbær;0.00021788;69.44473305;514;Solbær;0.000294102;93.43534837;515;Ribs;7.76E-05;91.88208368;516;Stikkelsbær;9.88E-06;78.57362977;518;Hindbær;7.84E-06;82.78725839;519;Blåbær;2.21E-05;88.06130611;520;Surkirsebær uden undervækst af græs;0.000256453;96.00356722;522;Blomme uden undervækst af græs;2.05E-05;87.84475468;524;Sødkirsebær uden undervækst af græs;4.96E-05;71.81054219;526;Hyld;4.86E-06;71.3486849;527;Hassel;1.15E-05;91.93717658;528;Æbler;0.000507262;95.17362892;529;Pærer;9.48E-05;92.74395085;530;Vindrue;2.46E-05;86.78823538;534;Hyben;4.53E-05;93.09162939;540;Tomater;2.03E-06;72.8392514;541;Agurker;2.41E-06;70.25546678
291;777;Ex-non-food brak;8.5E-05;0.0;598;Sorrel;9.64E-07;0;777;Ex-non-food brak;1.56E-06;0;777;Ex-non-food brak;3.72E-06;0;598;Sorrel;6.80E-06;0;997;Ikke kontrolleret afgrød;7.80E-07;0;341;Randzoneordning, Pd med udtagningsforpligtigelse;1.76E-05;0;598;Sorrel;6.14E-06;0;41;Spindhør;3.39E-07;0;598;Sorrel;9.45E-06;0;341;Randzoneordning, Pd med udtagningsforpligtigelse;1.51E-06;0;341;Randzoneordning, Pd med udtagningsforpligtigelse;1.42E-06;0;777;Ex-non-food brak;1.66E-06;0;598;Sorrel;5.64E-06;0;341;Randzoneordning, Pd med udtagningsforpligtigelse;1.87E-06;0;422;Spinat;6.57E-06;6.104150719;41;Spindhør;9.11E-07;0;777;Ex-non-food brak;8.27E-07;0;777;Ex-non-food brak;4.95E-06;0;341;Randzoneordning, Pd med udtagningsforpligtigelse;1.45E-05;0;777;Ex-non-food brak;1.93E-06;0;341;Randzoneordning, Pd med udtagningsforpligtigelse;1.50E-06;0;998;Ukendt afgrøde;2.59E-06;0;777;Ex-non-food brak;5.96E-07;0;510;Melon;2.36E-05;0.017012589;777;Ex-non-food brak;2.72E-05;0;505;Ribs, stiklingeopformering;2.43E-06;0.574687121;360;Vildtafgrøder;1.49E-07;0;508;Andre af slægten Vaccinium;9.35E-07;0;997;Ikke kontrolleret afgrød;3.87E-06;0;340;Randzoneordning, PD uden udtagningsforpligtigelse;5.96E-05;0;340;Randzoneordning, PD uden udtagningsforpligtigelse;1.72E-06;0;340;Randzoneordning, PD uden udtagningsforpligtigelse;6.98E-06;0;340;Randzoneordning, PD uden udtagningsforpligtigelse;1.69E-07;0;360;Vildtafgrøder;5.11E-07;0;777;Ex-non-food brak;4.31E-05;0;340;Randzoneordning, PD uden udtagningsforpligtigelse;8.60E-06;0;339;MFO-brak, forårsslåning;2.58E-06;0;532;Anden buskfrugt;1.13E-06;3.739320306;508;Andre af slægten Vaccinium;9.30E-07;0;360;Vildtafgrøder;1.21E-06;0
255;598;Sorrel;8.5E-05;0.0;400;Asieagurker;7.27E-07;13.84689489;598;Sorrel;1.56E-06;0;598;Sorrel;3.72E-06;0;340;Randzoneordning, PD uden udtagningsforpligtigelse;3.02E-06;0;920;Økologisk sommerbra;7.80E-07;0;510;Melon;1.76E-05;0;340;Randzoneordning, PD uden udtagningsforpligtigelse;3.74E-06;0;998;Ukendt afgrøde;3.39E-07;0;411;Løg;7.82E-06;8.070695947;510;Melon;1.51E-06;0;510;Melon;1.42E-06;0;598;Sorrel;1.66E-06;0;340;Randzoneordning, PD uden udtagningsforpligtigelse;2.72E-06;0;510;Melon;1.87E-06;0;777;Ex-non-food brak;4.17E-06;0;998;Ukendt afgrøde;9.11E-07;0;598;Sorrel;8.27E-07;0;598;Sorrel;4.95E-06;0;510;Melon;1.45E-05;0;598;Sorrel;1.93E-06;0;510;Melon;1.50E-06;0;511;Græskar;2.07E-06;8.751834607;598;Sorrel;5.96E-07;0;340;Randzoneordning, PD uden udtagningsforpligtigelse;2.33E-05;0;598;Sorrel;2.72E-05;0;777;Ex-non-food brak;1.61E-06;0;711;Grønkorn af vintertriticale;1.40E-07;0;50;Anden bredbladet afgrøde;7.81E-07;0;920;Økologisk sommerbra;3.87E-06;0;341;Randzoneordning, Pd med udtagningsforpligtigelse;5.96E-05;0;341;Randzoneordning, Pd med udtagningsforpligtigelse;1.72E-06;0;341;Randzoneordning, Pd med udtagningsforpligtigelse;6.98E-06;0;341;Randzoneordning, Pd med udtagningsforpligtigelse;1.69E-07;0;149;Kartofler, lægge- (certificerede);4.68E-07;0;598;Sorrel;4.31E-05;0;341;Randzoneordning, Pd med udtagningsforpligtigelse;8.60E-06;0;327;MFO-bræmme, sommerslåning;2.58E-06;0;997;Ikke kontrolleret afgrød;1.01E-06;0;997;Ikke kontrolleret afgrød;8.43E-07;0;997;Ikke kontrolleret afgrød;1.15E-06;0
155;340;Randzoneordning, PD uden udtagningsforpligtigelse;4.8E-05;0.0;405;Courgette, squash;5.86E-07;4.624299466;665;Havrerodfrø;1.06E-06;0;415;Porre;3.63E-06;10.2047482;341;Randzoneordning, Pd med udtagningsforpligtigelse;3.02E-06;0;777;Ex-non-food brak;6.75E-07;0;777;Ex-non-food brak;1.65E-05;0;341;Randzoneordning, Pd med udtagningsforpligtigelse;3.74E-06;0;777;Ex-non-food brak;2.79E-07;0;340;Randzoneordning, PD uden udtagningsforpligtigelse;6.95E-06;0;350;Miljøgræs med N-kvote;1.09E-06;0;350;Miljøgræs med N-kvote;9.34E-07;0;41;Spindhør;1.41E-06;0;341;Randzoneordning, Pd med udtagningsforpligtigelse;2.72E-06;0;440;Solhat;1.34E-06;0;598;Sorrel;4.17E-06;0;409;Kinakål;8.31E-07;2.575524727;41;Spindhør;5.82E-07;0;340;Randzoneordning, PD uden udtagningsforpligtigelse;2.61E-06;0;41;Spindhør;1.30E-05;0;340;Randzoneordning, PD uden udtagningsforpligtigelse;1.22E-06;0;440;Solhat;1.19E-06;0;665;Havrerodfrø;1.96E-06;0;339;MFO-brak, forårsslåning;5.46E-07;0;341;Randzoneordning, Pd med udtagningsforpligtigelse;2.33E-05;0;340;Randzoneordning, PD uden udtagningsforpligtigelse;2.32E-05;0.00069891;598;Sorrel;1.61E-06;0;149;Kartofler, lægge- (certificerede);1.39E-07;0;910;Ikke anmeldt mark;7.45E-07;0;505;Ribs, stiklingeopformering;2.60E-06;0;510;Melon;5.96E-05;0;510;Melon;1.72E-06;0;510;Melon;6.98E-06;0;510;Melon;1.69E-07;0;508;Andre af slægten Vaccinium;4.45E-07;0;340;Randzoneordning, PD uden udtagningsforpligtigelse;3.74E-05;0;510;Melon;8.60E-06;0;343;MFO-bestøverbrak;2.58E-06;0;920;Økologisk sommerbra;1.01E-06;0;920;Økologisk sommerbra;8.43E-07;0;920;Økologisk sommerbra;1.15E-06;0
156;341;Randzoneordning, Pd med udtagningsforpligtigelse;4.8E-05;0.0;340;Randzoneordning, PD uden udtagningsforpligtigelse;5.33E-07;0;658;Gulerodsfrø;9.98E-07;0;340;Randzoneordning, PD uden udtagningsforpligtigelse;1.88E-06;0;510;Melon;3.02E-06;0;598;Sorrel;6.75E-07;0;598;Sorrel;1.65E-05;0;510;Melon;3.74E-06;0;598;Sorrel;2.79E-07;0;341;Randzoneordning, Pd med udtagningsforpligtigelse;6.95E-06;0;315;Miljøgræs brugt som udtagning;1.09E-06;0;315;Miljøgræs brugt som udtagning;9.34E-07;0;998;Ukendt afgrøde;1.41E-06;0;510;Melon;2.72E-06;0;350;Miljøgræs med N-kvote;1.23E-06;0;41;Spindhør;3.92E-06;0;711;Grønkorn af vintertriticale;7.43E-07;0;998;Ukendt afgrøde;5.82E-07;0;341;Randzoneordning, Pd med udtagningsforpligtigelse;2.61E-06;0;998;Ukendt afgrøde;1.30E-05;0;341;Randzoneordning, Pd med udtagningsforpligtigelse;1.22E-06;0;350;Miljøgræs med N-kvote;1.01E-06;0;777;Ex-non-food brak;1.80E-06;0;327;MFO-bræmme, sommerslåning;5.46E-07;0;350;Miljøgræs med N-kvote;1.73E-05;0;341;Randzoneordning, Pd med udtagningsforpligtigelse;2.32E-05;0;665;Havrerodfrø;1.02E-06;0;41;Spindhør;1.23E-07;0;181;Anden oliefrøart;6.85E-07;0;360;Vildtafgrøder;2.53E-06;0;350;Miljøgræs med N-kvote;4.03E-05;0;777;Ex-non-food brak;1.50E-06;0;350;Miljøgræs med N-kvote;5.05E-06;0;350;Miljøgræs med N-kvote;1.55E-07;0;658;Gulerodsfrø;3.90E-07;0;341;Randzoneordning, Pd med udtagningsforpligtigelse;3.74E-05;0;350;Miljøgræs med N-kvote;6.79E-06;0;9;Vinterspelt;2.58E-06;0;777;Ex-non-food brak;9.81E-07;0;910;Ikke anmeldt mark;6.58E-07;0;657;Grønkålfrø;1.00E-06;0
213;510;Melon;4.8E-05;0.0;341;Randzoneordning, Pd med udtagningsforpligtigelse;5.33E-07;0;350;Miljøgræs med N-kvote;9.78E-07;0;341;Randzoneordning, Pd med udtagningsforpligtigelse;1.88E-06;0;404;Broccoli;2.41E-06;10.21461807;498;Containerplads 4, vedplanter;6.55E-07;0;350;Miljøgræs med N-kvote;1.65E-05;0;350;Miljøgræs med N-kvote;2.63E-06;0;340;Randzoneordning, PD uden udtagningsforpligtigelse;2.62E-07;0;510;Melon;6.95E-06;0;440;Solhat;1.07E-06;0;440;Solhat;8.60E-07;0;498;Containerplads 4, vedplanter;1.06E-06;0;412;Pastinak;2.07E-06;4.971173603;315;Miljøgræs brugt som udtagning;1.23E-06;0;998;Ukendt afgrøde;3.92E-06;0;777;Ex-non-food brak;7.06E-07;0;422;Spinat;5.54E-07;5.191992605;510;Melon;2.61E-06;0;350;Miljøgræs med N-kvote;1.28E-05;0;510;Melon;1.22E-06;0;315;Miljøgræs brugt som udtagning;1.01E-06;0;598;Sorrel;1.80E-06;0;343;MFO-bestøverbrak;5.46E-07;0;315;Miljøgræs brugt som udtagning;1.73E-05;0;510;Melon;2.32E-05;0;910;Ikke anmeldt mark;1.02E-06;0;998;Ukendt afgrøde;1.23E-07;0;669;Andet havefrø;6.85E-07;0;658;Gulerodsfrø;2.41E-06;0;315;Miljøgræs brugt som udtagning;4.03E-05;0;598;Sorrel;1.50E-06;0;315;Miljøgræs brugt som udtagning;5.05E-06;0;315;Miljøgræs brugt som udtagning;1.55E-07;0;711;Grønkorn af vintertriticale;3.77E-07;0;510;Melon;3.74E-05;0;315;Miljøgræs brugt som udtagning;6.79E-06;0;338;Brak, forårsslåning;2.58E-06;0;598;Sorrel;9.81E-07;0;50;Anden bredbladet afgrøde;5.74E-07;0;247;Miljøgræs MVJ-tilsagn (0 N), omdrift;9.72E-07;0
28;41;Spindhør;4.6E-05;0.0;510;Melon;5.33E-07;0;315;Miljøgræs brugt som udtagning;9.78E-07;0;510;Melon;1.88E-06;0;910;Ikke anmeldt mark;2.22E-06;0;708;Grønkorn af vinterhavre;6.55E-07;0;315;Miljøgræs brugt som udtagning;1.65E-05;0;315;Miljøgræs brugt som udtagning;2.63E-06;0;341;Randzoneordning, Pd med udtagningsforpligtigelse;2.62E-07;0;420;Salat (friland);5.85E-06;3.954743847;50;Anden bredbladet afgrøde;8.87E-07;0;777;Ex-non-food brak;7.13E-07;0;708;Grønkorn af vinterhavre;1.06E-06;0;910;Ikke anmeldt mark;2.02E-06;0;50;Anden bredbladet afgrøde;9.63E-07;0;498;Containerplads 4, vedplanter;3.41E-06;0;598;Sorrel;7.06E-07;0;498;Containerplads 4, vedplanter;5.18E-07;0;511;Græskar;2.36E-06;5.267637233;315;Miljøgræs brugt som udtagning;1.28E-05;0;910;Ikke anmeldt mark;8.88E-07;0;777;Ex-non-food brak;8.84E-07;0;910;Ikke anmeldt mark;1.77E-06;0;9;Vinterspelt;5.46E-07;0;777;Ex-non-food brak;1.51E-05;0;350;Miljøgræs med N-kvote;1.74E-05;0;658;Gulerodsfrø;8.74E-07;0;777;Ex-non-food brak;1.23E-07;0;265;Græs/kløvergræs slæt før vårsåede afgrøder;5.95E-07;0.037537538;498;Containerplads 4, vedplanter;2.13E-06;0;440;Solhat;3.26E-05;0;350;Miljøgræs med N-kvote;1.34E-06;0;50;Anden bredbladet afgrøde;4.87E-06;0;50;Anden bredbladet afgrøde;1.50E-07;0;325;MFO-Blomsterbrak;3.57E-07;0.261627907;350;Miljøgræs med N-kvote;2.92E-05;0;50;Anden bredbladet afgrøde;5.77E-06;0;334;MFO-bræmme, forårsslåning;2.58E-06;0;498;Containerplads 4, vedplanter;7.07E-07;0;284;"Græs med vikke og andre bælgplanter, under 50 % bælgpl.
";5.57E-07;0;325;MFO-Blomsterbrak;9.72E-07;0
297;998;Ukendt afgrøde;4.6E-05;0.0;910;Ikke anmeldt mark;5.06E-07;0;910;Ikke anmeldt mark;9.20E-07;0;665;Havrerodfrø;1.44E-06;0;665;Havrerodfrø;2.12E-06;0;41;Spindhør;5.30E-07;0;181;Anden oliefrøart;1.23E-05;0;910;Ikke anmeldt mark;2.25E-06;0;510;Melon;2.62E-07;0;41;Spindhør;5.79E-06;0;181;Anden oliefrøart;8.41E-07;0;598;Sorrel;7.13E-07;0;711;Grønkorn af vintertriticale;9.47E-07;0;413;Rodpersille;1.86E-06;3.837597276;657;Grønkålfrø;9.44E-07;0;708;Grønkorn af vinterhavre;3.41E-06;0;498;Containerplads 4, vedplanter;7.06E-07;0;708;Grønkorn af vinterhavre;5.18E-07;0;41;Spindhør;2.36E-06;0;440;Solhat;1.20E-05;0;350;Miljøgræs med N-kvote;8.74E-07;0;598;Sorrel;8.84E-07;0;498;Containerplads 4, vedplanter;1.56E-06;0;338;Brak, forårsslåning;5.46E-07;0;598;Sorrel;1.51E-05;0;315;Miljøgræs brugt som udtagning;1.74E-05;0;41;Spindhør;8.57E-07;0;598;Sorrel;1.23E-07;0;500;Buske og træer Planteskoleplanter;5.95E-07;0;708;Grønkorn af vinterhavre;2.13E-06;0;50;Anden bredbladet afgrøde;3.22E-05;0;315;Miljøgræs brugt som udtagning;1.34E-06;0;440;Solhat;4.34E-06;0;657;Grønkålfrø;1.29E-07;0;247;Miljøgræs MVJ-tilsagn (0 N), omdrift;3.57E-07;0;315;Miljøgræs brugt som udtagning;2.92E-05;0;181;Anden oliefrøart;5.30E-06;0.038299851;328;MFO-bræmme med blomsterblanding;2.58E-06;0;708;Grønkorn af vinterhavre;7.07E-07;0;249;Udnyttet græs ved vandboring;5.57E-07;0;324;Blomsterbrak;9.72E-07;0
275;665;Havrerodfrø;4.2E-05;0.0;350;Miljøgræs med N-kvote;4.60E-07;0;340;Randzoneordning, PD uden udtagningsforpligtigelse;9.12E-07;0;41;Spindhør;1.34E-06;0;658;Gulerodsfrø;2.08E-06;0;998;Ukendt afgrøde;5.30E-07;0;669;Andet havefrø;1.23E-05;0;181;Anden oliefrøart;2.02E-06;0;440;Solhat;2.23E-07;0;998;Ukendt afgrøde;5.79E-06;0;669;Andet havefrø;8.41E-07;0;181;Anden oliefrøart;6.74E-07;0;665;Havrerodfrø;9.46E-07;0;665;Havrerodfrø;1.84E-06;0;181;Anden oliefrøart;9.03E-07;0;404;Broccoli;3.16E-06;4.592502609;708;Grønkorn af vinterhavre;7.06E-07;0;306;Græs i omdrift, uden udbetaling af økologi-tilskud;4.85E-07;0;998;Ukendt afgrøde;2.36E-06;0;777;Ex-non-food brak;1.19E-05;0;315;Miljøgræs brugt som udtagning;8.74E-07;0;41;Spindhør;8.71E-07;0;708;Grønkorn af vinterhavre;1.56E-06;0;334;MFO-bræmme, forårsslåning;5.46E-07;0;440;Solhat;1.43E-05;0;181;Anden oliefrøart;1.33E-05;0;998;Ukendt afgrøde;8.57E-07;0;308;MFO-brak, sommerslåning;1.18E-07;0.029274005;275;Rullegræs, permanent;5.95E-07;0;247;Miljøgræs MVJ-tilsagn (0 N), omdrift;2.12E-06;0;181;Anden oliefrøart;3.06E-05;0;181;Anden oliefrøart;1.09E-06;0;181;Anden oliefrøart;4.23E-06;0;507;Hindbær, stiklingeopformering;1.26E-07;0.112233446;324;Blomsterbrak;3.57E-07;0;181;Anden oliefrøart;2.48E-05;0.043413763;669;Andet havefrø;5.30E-06;0;8;Vårspelt;2.58E-06;0;360;Vildtafgrøder;5.98E-07;0;663;Pastinakfrø;5.14E-07;0;286;Permanent græs og kløvergræs uden norm, over 50 % kløver;9.72E-07;0
293;910;Ikke anmeldt mark;3.9E-05;0.0;315;Miljøgræs brugt som udtagning;4.60E-07;0;341;Randzoneordning, Pd med udtagningsforpligtigelse;9.12E-07;0;998;Ukendt afgrøde;1.34E-06;0;350;Miljøgræs med N-kvote;2.01E-06;0;440;Solhat;5.14E-07;0;265;Græs/kløvergræs slæt før vårsåede afgrøder;1.17E-05;0;669;Andet havefrø;2.02E-06;0;498;Containerplads 4, vedplanter;2.12E-07;0;350;Miljøgræs med N-kvote;4.94E-06;0;265;Græs/kløvergræs slæt før vårsåede afgrøder;8.15E-07;0;669;Andet havefrø;6.74E-07;0;306;Græs i omdrift, uden udbetaling af økologi-tilskud;9.14E-07;0;350;Miljøgræs med N-kvote;1.82E-06;0;669;Andet havefrø;9.03E-07;0;711;Grønkorn af vintertriticale;2.96E-06;0;360;Vildtafgrøder;6.59E-07;0;710;Grønkorn af hybridrug;4.75E-07;0;665;Havrerodfrø;2.33E-06;0;598;Sorrel;1.19E-05;0;281;Kålroer;8.13E-07;1.569052805;998;Ukendt afgrøde;8.71E-07;0;658;Gulerodsfrø;1.53E-06;0;328;MFO-bræmme med blomsterblanding;5.46E-07;0;669;Andet havefrø;1.38E-05;0.010201053;669;Andet havefrø;1.33E-05;0;125;Bederoefrø;7.27E-07;0;701;Grønkorn af vårbyg;1.18E-07;0;433;Krydderurt;5.95E-07;0;325;MFO-Blomsterbrak;2.12E-06;0;669;Andet havefrø;3.06E-05;0;669;Andet havefrø;1.09E-06;0;669;Andet havefrø;4.23E-06;0;181;Anden oliefrøart;1.21E-07;0;286;Permanent græs og kløvergræs uden norm, over 50 % kløver;3.57E-07;0;669;Andet havefrø;2.48E-05;0;440;Solhat;5.30E-06;0;342;Bestøverbrak;2.58E-06;0;658;Gulerodsfrø;5.39E-07;0;181;Anden oliefrøart;4.81E-07;0;434;Grøntsager, andre (friland);9.72E-07;0
