"Tablepotatoes.code";"Tablepotatoes.name";"Tablepotatoes.mean";"Gherkin.code";"Gherkin.name";"Gherkin.mean";"Aspargus.code";"Aspargus.name";"Aspargus.mean";"Cauliflower.code";"Cauliflower.name";"Cauliflower.mean";"Broccoli.code";"Broccoli.name";"Broccoli.mean";"Kale.code";"Kale.name";"Kale.mean";"Carrot.code";"Carrot.name";"Carrot.mean";"Whitecabbage.code";"Whitecabbage.name";"Whitecabbage.mean";"Celeriac.code";"Celeriac.name";"Celeriac.mean";"Onions.code";"Onions.name";"Onions.mean";"Parsnip.code";"Parsnip.name";"Parsnip.mean";"Rootparsley.code";"Rootparsley.name";"Rootparsley.mean";"Leek.code";"Leek.name";"Leek.mean";"Beet.code";"Beet.name";"Beet.mean";"Redcabbage.code";"Redcabbage.name";"Redcabbage.mean";"Lettuce.code";"Lettuce.name";"Lettuce.mean";"Savoycabbage.pointedcabbage.code";"Savoycabbage.pointedcabbage.name";"Savoycabbage.pointedcabbage.mean";"Spinach.code";"Spinach.name";"Spinach.mean";"Sweetcorn.code";"Sweetcorn.name";"Sweetcorn.mean";"Peas.code";"Peas.name";"Peas.mean";"Jerusalemartichoke.code";"Jerusalemartichoke.name";"Jerusalemartichoke.mean";"Leafparsley.code";"Leafparsley.name";"Leafparsley.mean";"Pumpkin.code";"Pumpkin.name";"Pumpkin.mean";"Rhubarb.code";"Rhubarb.name";"Rhubarb.mean";"Strawberry.code";"Strawberry.name";"Strawberry.mean";"Blackcurrant.code";"Blackcurrant.name";"Blackcurrant.mean";"Redcurrant.code";"Redcurrant.name";"Redcurrant.mean";"Gooseberry.code";"Gooseberry.name";"Gooseberry.mean";"Raspberry.code";"Raspberry.name";"Raspberry.mean";"Blueberry.code";"Blueberry.name";"Blueberry.mean";"Sourcherry.code";"Sourcherry.name";"Sourcherry.mean";"Plum.code";"Plum.name";"Plum.mean";"Sweetcherry.code";"Sweetcherry.name";"Sweetcherry.mean";"Elder.code";"Elder.name";"Elder.mean";"Hazel.code";"Hazel.name";"Hazel.mean";"Apple.code";"Apple.name";"Apple.mean";"Pear.code";"Pear.name";"Pear.mean";"Winegrape.code";"Winegrape.name";"Winegrape.mean";"Rosehip.code";"Rosehip.name";"Rosehip.mean";"Tomato.code";"Tomato.name";"Tomato.mean";"Cucumber.code";"Cucumber.name";"Cucumber.mean"
"1";1;"Vårbyg";36044;11;"Vinterhvede";228.875;401;"Asparges";1519.875;403;"Blomkål";1106.75;1;"Vårbyg";503.5;406;"Grønkål";111.5;11;"Vinterhvede";5066.75;11;"Vinterhvede";720.375;410;"Knoldselleri";185.125;11;"Vinterhvede";4152.375;11;"Vinterhvede";393.5;11;"Vinterhvede";289.875;415;"Porre";1344.375;11;"Vinterhvede";781.375;11;"Vinterhvede";679.75;420;"Salat (friland)";3035.375;1;"Vårbyg";461.125;420;"Salat (friland)";445.125;423;"Sukkermajs";1790.875;11;"Vinterhvede";12605.875;429;"Jordskokker, konsum";290.375;420;"Salat (friland)";67;1;"Vårbyg";494.25;512;"Rabarber";478.875;513;"Jordbær";8805.125;514;"Solbær";10526.75;515;"Ribs";2477;516;"Stikkelsbær";328.125;518;"Hindbær";261.375;519;"Blåbær";647.25;520;"Surkirsebær uden undervækst af græs";8590;522;"Blomme uden undervækst af græs";645.75;524;"Sødkirsebær uden undervækst af græs";1304.125;526;"Hyld";160.875;527;"Hassel";332.5;528;"Æbler";15289.625;529;"Pærer";2955.375;530;"Vindrue";708.75;534;"Hyben";1466.75;540;"Tomater";70.875;541;"Agurker";72.875
"9";11;"Vinterhvede";17197.5;1;"Vårbyg";110.875;1;"Vårbyg";79.875;1;"Vårbyg";688.25;11;"Vinterhvede";377.125;420;"Salat (friland)";104;1;"Vårbyg";3743.75;1;"Vårbyg";580.125;11;"Vinterhvede";167.75;1;"Vårbyg";2849;1;"Vårbyg";255.75;15;"Vinterhybridrug";193.125;11;"Vinterhvede";624.875;1;"Vårbyg";510.375;1;"Vårbyg";341.25;1;"Vårbyg";609.25;411;"Løg";268.125;11;"Vinterhvede";362.375;11;"Vinterhvede";547.5;1;"Vårbyg";7433.875;1;"Vårbyg";251.75;422;"Spinat";37.5;11;"Vinterhvede";412.75;1;"Vårbyg";19.25;1;"Vårbyg";1217.75;1;"Vårbyg";306;514;"Solbær";94.5;514;"Solbær";27.25;516;"Stikkelsbær";7.75;1;"Vårbyg";19;1;"Vårbyg";75.5;528;"Æbler";20.5;520;"Surkirsebær uden undervækst af græs";204.125;260;"Græs med kløver/lucerne, under 50 % bælgpl. (omdrift)";44.25;260;"Græs med kløver/lucerne, under 50 % bælgpl. (omdrift)";12.75;11;"Vinterhvede";135;528;"Æbler";156.625;252;"Permanent græs, normalt udbytte";13.75;532;"Anden buskfrugt";65.5;541;"Agurker";15.875;540;"Tomater";14.125
"42";152;"Kartofler, spise-";14492.375;400;"Asieagurker";82.125;11;"Vinterhvede";36.125;11;"Vinterhvede";520.5;260;"Græs med kløver/lucerne, under 50 % bælgpl. (omdrift)";310.875;411;"Løg";91;15;"Vinterhybridrug";2577.5;408;"Hvidkål";185.75;1;"Vårbyg";112.375;411;"Løg";1256.75;15;"Vinterhybridrug";247.125;1;"Vårbyg";141.75;1;"Vårbyg";346.5;407;"Gulerod";270.5;2;"Vårhvede";149.375;411;"Løg";564.5;421;"Savoykål, spidskål";263.25;1;"Vårbyg";287;1;"Vårbyg";462.5;13;"Vinterhvede, brødhvede";1910.75;260;"Græs med kløver/lucerne, under 50 % bælgpl. (omdrift)";130.625;1;"Vårbyg";37.125;152;"Kartofler, spise-";251.75;260;"Græs med kløver/lucerne, under 50 % bælgpl. (omdrift)";18;11;"Vinterhvede";946.375;11;"Vinterhvede";220.125;1;"Vårbyg";25.625;1;"Vårbyg";21.25;513;"Jordbær";6.5;268;"Græs under 50% kløver/lucerne, lavt udbytte (omdrift)";17.5;11;"Vinterhvede";60.875;520;"Surkirsebær uden undervækst af græs";19.375;2;"Vårhvede";22.25;1;"Vårbyg";13.25;234;"Korn og bælgsæd, grønkorn, under 50% bælgsæd";5.75;529;"Pærer";116.125;11;"Vinterhvede";14.625;1;"Vårbyg";11;11;"Vinterhvede";26.25;450;"Grøntsager, blandinger";12;450;"Grøntsager, blandinger";4.625
"58";216;"Silomajs";4767;423;"Sukkermajs";40.75;152;"Kartofler, spise-";35.625;415;"Porre";439.625;404;"Broccoli";286.75;260;"Græs med kløver/lucerne, under 50 % bælgpl. (omdrift)";86.25;3;"Vårhavre";1657.75;15;"Vinterhybridrug";94.875;152;"Kartofler, spise-";100.75;13;"Vinterhvede, brødhvede";651.625;152;"Kartofler, spise-";109.25;216;"Silomajs";132.625;260;"Græs med kløver/lucerne, under 50 % bælgpl. (omdrift)";185.125;152;"Kartofler, spise-";268.875;411;"Løg";136.625;422;"Spinat";442.625;11;"Vinterhvede";234.75;422;"Spinat";92.5;511;"Græskar";227.5;160;"Sukkerroer til fabrik";1400.125;15;"Vinterhybridrug";95.125;430;"Bladpersille";32.875;511;"Græskar";239.75;11;"Vinterhvede";16.375;152;"Kartofler, spise-";216.25;515;"Ribs";67;505;"Ribs, stiklingeopformering";15.75;11;"Vinterhvede";12.375;1;"Vårbyg";6.375;514;"Solbær";11.625;524;"Sødkirsebær uden undervækst af græs";28.5;1;"Vårbyg";10.25;528;"Æbler";20.75;3;"Vårhavre";10.5;3;"Vårhavre";2.5;1;"Vårbyg";91.375;513;"Jordbær";13.75;11;"Vinterhvede";10.25;268;"Græs under 50% kløver/lucerne, lavt udbytte (omdrift)";5.875;152;"Kartofler, spise-";0.25;260;"Græs med kløver/lucerne, under 50 % bælgpl. (omdrift)";2.5
"12";15;"Vinterhybridrug";4102.5;405;"Courgette, squash";33.125;15;"Vinterhybridrug";19.125;260;"Græs med kløver/lucerne, under 50 % bælgpl. (omdrift)";301.625;151;"Kartofler, stivelses-";250.375;1;"Vårbyg";71.875;260;"Græs med kløver/lucerne, under 50 % bælgpl. (omdrift)";1346.25;407;"Gulerod";84;13;"Vinterhvede, brødhvede";68.5;10;"Vinterbyg";638.875;407;"Gulerod";97.125;152;"Kartofler, spise-";77.75;403;"Blomkål";112.25;15;"Vinterhybridrug";190.875;152;"Kartofler, spise-";135.375;404;"Broccoli";339.875;10;"Vinterbyg";151;120;"Kløverfrø";86.75;216;"Silomajs";153.75;108;"Rødsvingelfrø";813.75;11;"Vinterhvede";76.75;11;"Vinterhvede";20.125;411;"Løg";204.125;3;"Vårhavre";12.5;424;"Ærter, konsum";178.875;22;"Vinterraps";26.125;11;"Vinterhvede";13.375;532;"Anden buskfrugt";10.125;532;"Anden buskfrugt";5.75;531;"Anden træfrugt";10.875;260;"Græs med kløver/lucerne, under 50 % bælgpl. (omdrift)";25.125;11;"Vinterhvede";7.5;252;"Permanent græs, normalt udbytte";14.25;593;"Poppel (0-100 andre træer pr. ha)";7;583;"Juletræer og pyntegrønt på landbrugsjord";2.375;539;"Blandet frugt";46.625;257;"Permanent græs, uden kløver";7.125;22;"Vinterraps";7.75;539;"Blandet frugt";4.875;400;"Asieagurker";0.25;250;"Permanent græs, meget lavt udbytte";1.5
"3";3;"Vårhavre";3083.875;511;"Græskar";25.625;423;"Sukkermajs";15.125;13;"Vinterhvede, brødhvede";132.5;420;"Salat (friland)";209.5;11;"Vinterhvede";71;152;"Kartofler, spise-";1345.5;152;"Kartofler, spise-";83;260;"Græs med kløver/lucerne, under 50 % bælgpl. (omdrift)";66.375;420;"Salat (friland)";602;2;"Vårhvede";93.5;260;"Græs med kløver/lucerne, under 50 % bælgpl. (omdrift)";56.75;10;"Vinterbyg";93.75;412;"Pastinak";183.5;14;"Vinterrug";69.5;151;"Kartofler, stivelses-";256.875;420;"Salat (friland)";145.75;450;"Grøntsager, blandinger";80.875;424;"Ærter, konsum";83.875;14;"Vinterrug";799.5;3;"Vårhavre";73.375;450;"Grøntsager, blandinger";12.875;423;"Sukkermajs";194.125;265;"Græs/kløvergræs slæt før vårsåede afgrøder";8.5;10;"Vinterbyg";168.25;516;"Stikkelsbær";18.125;10;"Vinterbyg";11.625;518;"Hindbær";4.875;11;"Vinterhvede";5.625;532;"Anden buskfrugt";6.625;108;"Rødsvingelfrø";20.5;172;"Lucernegræs, over 25% græs til slæt inkl. eget foder";4.625;261;"Kløvergræs, over 50% kløver (omdrift)";11.125;268;"Græs under 50% kløver/lucerne, lavt udbytte (omdrift)";6.25;531;"Anden træfrugt";1.875;513;"Jordbær";34.5;520;"Surkirsebær uden undervækst af græs";6.125;216;"Silomajs";4.75;216;"Silomajs";3.125;545;"Potteplanter";0.25;10;"Vinterbyg";1.375
"8";10;"Vinterbyg";2852.125;152;"Kartofler, spise-";21.625;216;"Silomajs";13.125;10;"Vinterbyg";113.125;411;"Løg";172.625;3;"Vårhavre";48.75;14;"Vinterrug";1195.125;260;"Græs med kløver/lucerne, under 50 % bælgpl. (omdrift)";83;411;"Løg";50.375;152;"Kartofler, spise-";452.75;101;"Rajgræsfrø, alm.";83.25;417;"Rødbede";53.5;15;"Vinterhybridrug";89;413;"Rodpersille";141.25;407;"Gulerod";41.875;11;"Vinterhvede";255.75;3;"Vårhavre";99;101;"Rajgræsfrø, alm.";64.25;152;"Kartofler, spise-";81;3;"Vårhavre";706.5;261;"Kløvergræs, over 50% kløver (omdrift)";43.875;448;"Medicinpl., en- og toårige";8.5;13;"Vinterhvede, brødhvede";99;450;"Grøntsager, blandinger";8.375;3;"Vårhavre";128.5;10;"Vinterbyg";17.75;2;"Vårhvede";8.375;310;"Brak, sommerslåning";3.875;152;"Kartofler, spise-";2.875;263;"Græs uden kløvergræs (omdrift)";3.25;522;"Blomme uden undervækst af græs";19;531;"Anden træfrugt";3.75;1;"Vårbyg";8.25;216;"Silomajs";5.875;325;"MFO-Blomsterbrak";1.125;260;"Græs med kløver/lucerne, under 50 % bælgpl. (omdrift)";33.875;310;"Brak, sommerslåning";4.25;15;"Vinterhybridrug";4.5;660;"Persillefrø";2.375;11;"Vinterhvede";0.125;513;"Jordbær";1.375
"70";260;"Græs med kløver/lucerne, under 50 % bælgpl. (omdrift)";2614.5;2;"Vårhvede";20.875;411;"Løg";12.75;216;"Silomajs";89.125;15;"Vinterhybridrug";140.5;7;"Korn + bælgsæd under 50% bælgsæd";34.75;407;"Gulerod";883.375;216;"Silomajs";79.125;404;"Broccoli";36.625;15;"Vinterhybridrug";433;216;"Silomajs";63.25;407;"Gulerod";48;420;"Salat (friland)";62.25;31;"Hestebønner";113.125;404;"Broccoli";35.125;421;"Savoykål, spidskål";234.625;260;"Græs med kløver/lucerne, under 50 % bælgpl. (omdrift)";96.375;160;"Sukkerroer til fabrik";46;10;"Vinterbyg";76.75;2;"Vårhvede";602.125;152;"Kartofler, spise-";38.25;432;"Krydderurter (undtagen persille og purløg)";8;14;"Vinterrug";81.75;22;"Vinterraps";3.625;22;"Vinterraps";83.25;216;"Silomajs";14;152;"Kartofler, spise-";8.25;519;"Blåbær";2.125;424;"Ærter, konsum";2.375;583;"Juletræer og pyntegrønt på landbrugsjord";2.875;216;"Silomajs";15.125;22;"Vinterraps";3.125;260;"Græs med kløver/lucerne, under 50 % bælgpl. (omdrift)";5.25;11;"Vinterhvede";5.125;22;"Vinterraps";0.625;701;"Grønkorn af vårbyg";23.25;522;"Blomme uden undervækst af græs";3.625;532;"Anden buskfrugt";4.375;1;"Vårbyg";2.125;255;"Permanent græs, under 50% kløver/lucerne";0.125;11;"Vinterhvede";1
"11";14;"Vinterrug";2423.75;10;"Vinterbyg";15.75;3;"Vårhavre";12.375;404;"Broccoli";87.625;415;"Porre";128;429;"Jordskokker, konsum";33.875;216;"Silomajs";828.875;415;"Porre";63.625;417;"Rødbede";28;216;"Silomajs";402;3;"Vårhavre";47.125;2;"Vårhvede";40.75;408;"Hvidkål";58;10;"Vinterbyg";112.875;160;"Sukkerroer til fabrik";34.375;402;"Bladselleri";97.5;14;"Vinterrug";81.75;406;"Grønkål";41.375;411;"Løg";52.125;10;"Vinterbyg";388.375;31;"Hestebønner";37.125;261;"Kløvergræs, over 50% kløver (omdrift)";7.125;101;"Rajgræsfrø, alm.";69.875;252;"Permanent græs, normalt udbytte";3.625;14;"Vinterrug";74.75;260;"Græs med kløver/lucerne, under 50 % bælgpl. (omdrift)";13.625;310;"Brak, sommerslåning";7.625;515;"Ribs";1.875;266;"Græs under 50% kløver/lucerne, ekstremt lavt udbytte (omdrift)";1.875;260;"Græs med kløver/lucerne, under 50 % bælgpl. (omdrift)";2.75;528;"Æbler";13.5;529;"Pærer";2.875;268;"Græs under 50% kløver/lucerne, lavt udbytte (omdrift)";4.125;14;"Vinterrug";5.125;268;"Græs under 50% kløver/lucerne, lavt udbytte (omdrift)";0.625;252;"Permanent græs, normalt udbytte";21.5;1;"Vårbyg";3.25;16;"Vintertriticale";4.25;260;"Græs med kløver/lucerne, under 50 % bælgpl. (omdrift)";1.375;434;"Grøntsager, andre (friland)";0.125;123;"Valmuefrø";0.875
"2";2;"Vårhvede";2244.375;411;"Løg";9;13;"Vinterhvede, brødhvede";9;424;"Ærter, konsum";51.875;403;"Blomkål";118.5;450;"Grøntsager, blandinger";28.25;10;"Vinterbyg";654.375;10;"Vinterbyg";57.25;408;"Hvidkål";26.375;14;"Vinterrug";327.375;10;"Vinterbyg";43.75;14;"Vinterrug";39.875;13;"Vinterhvede, brødhvede";47.25;411;"Løg";96.75;260;"Græs med kløver/lucerne, under 50 % bælgpl. (omdrift)";33.875;150;"Kartofler, lægge- (egen opformering)";86.375;415;"Porre";72.375;10;"Vinterbyg";38.25;400;"Asieagurker";49.25;111;"Svingelfrø, strand-";358;402;"Bladselleri";35.25;260;"Græs med kløver/lucerne, under 50 % bælgpl. (omdrift)";4.25;15;"Vinterhybridrug";46.375;152;"Kartofler, spise-";3.5;411;"Løg";73.25;520;"Surkirsebær uden undervækst af græs";12.875;532;"Anden buskfrugt";7;3;"Vårhavre";1.375;519;"Blåbær";1.5;266;"Græs under 50% kløver/lucerne, ekstremt lavt udbytte (omdrift)";1.875;310;"Brak, sommerslåning";12.25;252;"Permanent græs, normalt udbytte";2.5;264;"Græs og kløvergræs uden norm, under 50 % kløver (omdrift)";4;252;"Permanent græs, normalt udbytte";4.625;524;"Sødkirsebær uden undervækst af græs";0.5;520;"Surkirsebær uden undervækst af græs";21.375;152;"Kartofler, spise-";3.25;310;"Brak, sommerslåning";4.25;264;"Græs og kløvergræs uden norm, under 50 % kløver (omdrift)";1.375;NA;NA;NA;264;"Græs og kløvergræs uden norm, under 50 % kløver (omdrift)";0.875
"98";407;"Gulerod";1668.125;403;"Blomkål";5.625;450;"Grøntsager, blandinger";7.25;421;"Savoykål, spidskål";51.125;14;"Vinterrug";112.5;30;"Ærter";26.25;2;"Vårhvede";640.75;13;"Vinterhvede, brødhvede";47.375;10;"Vinterbyg";26;260;"Græs med kløver/lucerne, under 50 % bælgpl. (omdrift)";257.75;417;"Rødbede";41.5;13;"Vinterhvede, brødhvede";38.75;407;"Gulerod";45.375;260;"Græs med kløver/lucerne, under 50 % bælgpl. (omdrift)";90.25;3;"Vårhavre";28.125;406;"Grønkål";84.125;409;"Kinakål";70;2;"Vårhvede";33.25;260;"Græs med kløver/lucerne, under 50 % bælgpl. (omdrift)";48.875;101;"Rajgræsfrø, alm.";313.5;407;"Gulerod";31.875;3;"Vårhavre";3.875;403;"Blomkål";38.25;263;"Græs uden kløvergræs (omdrift)";3.5;15;"Vinterhybridrug";70.375;504;"Solbær, stiklingeopformering";12.125;216;"Silomajs";4;260;"Græs med kløver/lucerne, under 50 % bælgpl. (omdrift)";1.375;522;"Blomme uden undervækst af græs";1.25;518;"Hindbær";1.875;504;"Solbær, stiklingeopformering";8.5;152;"Kartofler, spise-";2.375;11;"Vinterhvede";3.5;172;"Lucernegræs, over 25% græs til slæt inkl. eget foder";2.75;513;"Jordbær";0.25;3;"Vårhavre";20.875;424;"Ærter, konsum";3.125;268;"Græs under 50% kløver/lucerne, lavt udbytte (omdrift)";4.125;449;"Medicinpl., stauder ";1.25;NA;NA;NA;7;"Korn + bælgsæd under 50% bælgsæd";0.75
