"ACC";"ROC";"FN"
"Table potatoes";0.78;0.78;0.19
"Gherkin";0.645;0.645;0.678
"Aspargus";0.746;0.751;0.452
"Cauliflower";0.714;0.711;0.552
"Broccoli";0.847;0.845;0.287
"Kale";0.659;0.662;0.63
"Carrot";0.835;0.835;0.18
"White cabbage";0.768;0.768;0.355
"Celeriac";0.734;0.736;0.486
"Onions";0.859;0.858;0.192
"Parsnip";0.803;0.803;0.332
"Root parsley";0.796;0.792;0.358
"Leek";0.748;0.754;0.47
"Beet";0.799;0.799;0.337
"Red cabbage";0.841;0.84;0.274
"Lettuce";0.782;0.783;0.413
"Savoy cabbage, pointed cabbage";0.706;0.71;0.51
"Spinach";0.686;0.682;0.484
"Sweet corn";0.735;0.732;0.472
"Peas";0.86;0.861;0.098
"Jerusalem artichoke";0.761;0.763;0.444
"Leaf parsley";0.701;0.703;0.571
"Pumpkin";0.809;0.809;0.3
"Rhubarb";0.677;0.68;0.63
"Strawberry";0.676;0.675;0.358
"Blackcurrant";0.739;0.742;0.391
"Redcurrant";0.608;0.613;0.734
"Gooseberry";0.55;0.547;0.895
"Raspberry";0.546;0.553;0.834
"Blueberry";0.492;0.493;0.994
"Sour cherry";0.758;0.761;0.397
"Plum";0.601;0.615;0.726
"Sweet cherry";0.676;0.675;0.611
"Elder";0.497;0.497;0.984
"Hazel";0.491;0.498;0.995
"Apple";0.79;0.79;0.215
"Pear";0.728;0.728;0.453
"Wine grape";0.666;0.667;0.589
"Rose hip";0.543;0.544;0.896
"Tomato";0.498;0.499;0.998
"Cucumber";0.582;0.585;0.82
