"ACC";"ROC";"FN"
"Table potatoes";0.761;0.839;0.281
"Gherkin";0.599;0.887;0.786
"Aspargus";0.769;0.914;0.417
"Cauliflower";0.631;0.808;0.736
"Broccoli";0.796;0.921;0.399
"Kale";0.662;0.815;0.653
"Carrot";0.816;0.9;0.231
"White cabbage";0.74;0.864;0.475
"Celeriac";0.699;0.872;0.578
"Onions";0.848;0.935;0.236
"Parsnip";0.812;0.917;0.302
"Root parsley";0.773;0.909;0.417
"Leek";0.648;0.893;0.675
"Beet";0.802;0.887;0.346
"Red cabbage";0.814;0.933;0.354
"Lettuce";0.757;0.927;0.455
"Savoy cabbage, pointed cabbage";0.68;0.826;0.593
"Spinach";0.666;0.791;0.577
"Sweet corn";0.614;0.843;0.766
"Peas";0.854;0.915;0.097
"Jerusalem artichoke";0.726;0.879;0.531
"Leaf parsley";0.702;0.846;0.588
"Pumpkin";0.769;0.9;0.433
"Rhubarb";0.519;0.885;0.95
"Strawberry";0.656;0.751;0.563
"Blackcurrant";0.706;0.829;0.505
"Redcurrant";0.567;0.848;0.817
"Gooseberry";0.509;0.644;0.987
"Raspberry";0.549;0.739;0.86
"Blueberry";0.499;0.551;0.999
"Sour cherry";0.757;0.888;0.396
"Plum";0.605;0.854;0.733
"Sweet cherry";0.57;0.878;0.846
"Elder";0.502;0.678;0.991
"Hazel";0.493;0.515;1
"Apple";0.785;0.862;0.225
"Pear";0.71;0.887;0.507
"Wine grape";0.66;0.813;0.631
"Rose hip";0.549;0.868;0.879
"Tomato";0.501;0.865;0.996
"Cucumber";0.511;0.812;0.969
