"ACC";"ROC";"FN"
"Table potatoes";0.795;0.795;0.2
"Gherkin";0.626;0.626;0.738
"Aspargus";0.617;0.625;0.738
"Cauliflower";0.632;0.629;0.726
"Broccoli";0.778;0.776;0.433
"Kale";0.619;0.623;0.728
"Carrot";0.834;0.833;0.201
"White cabbage";0.746;0.747;0.447
"Celeriac";0.615;0.618;0.743
"Onions";0.856;0.854;0.219
"Parsnip";0.733;0.733;0.501
"Root parsley";0.712;0.704;0.555
"Leek";0.656;0.664;0.66
"Beet";0.766;0.766;0.415
"Red cabbage";0.776;0.775;0.421
"Lettuce";0.737;0.737;0.516
"Savoy cabbage, pointed cabbage";0.656;0.662;0.637
"Spinach";0.637;0.63;0.662
"Sweet corn";0.614;0.609;0.751
"Peas";0.864;0.865;0.099
"Jerusalem artichoke";0.65;0.653;0.684
"Leaf parsley";0.685;0.687;0.62
"Pumpkin";0.746;0.746;0.478
"Rhubarb";0.58;0.585;0.829
"Strawberry";0.712;0.709;0.479
"Blackcurrant";0.69;0.695;0.532
"Redcurrant";0.547;0.554;0.879
"Gooseberry";0.515;0.511;0.974
"Raspberry";0.574;0.582;0.827
"Blueberry";0.509;0.51;0.975
"Sour cherry";0.674;0.679;0.613
"Plum";0.574;0.591;0.811
"Sweet cherry";0.619;0.617;0.757
"Elder";0.544;0.545;0.906
"Hazel";0.499;0.506;0.986
"Apple";0.792;0.791;0.342
"Pear";0.712;0.714;0.556
"Wine grape";0.65;0.652;0.686
"Rose hip";0.516;0.517;0.961
"Tomato";0.566;0.567;0.867
"Cucumber";0.581;0.584;0.83
