"ACC";"ROC";"FN"
"Table potatoes";0.769;0.851;0.272
"Gherkin";0.601;0.897;0.789
"Aspargus";0.676;0.917;0.618
"Cauliflower";0.606;0.843;0.786
"Broccoli";0.76;0.938;0.475
"Kale";0.619;0.859;0.745
"Carrot";0.819;0.901;0.23
"White cabbage";0.72;0.871;0.523
"Celeriac";0.648;0.885;0.683
"Onions";0.847;0.934;0.249
"Parsnip";0.716;0.921;0.533
"Root parsley";0.718;0.903;0.559
"Leek";0.614;0.902;0.748
"Beet";0.772;0.894;0.422
"Red cabbage";0.799;0.934;0.388
"Lettuce";0.753;0.926;0.474
"Savoy cabbage, pointed cabbage";0.649;0.838;0.665
"Spinach";0.647;0.787;0.653
"Sweet corn";0.584;0.851;0.834
"Peas";0.853;0.919;0.11
"Jerusalem artichoke";0.672;0.883;0.642
"Leaf parsley";0.668;0.854;0.659
"Pumpkin";0.761;0.918;0.444
"Rhubarb";0.526;0.926;0.936
"Strawberry";0.683;0.801;0.497
"Blackcurrant";0.706;0.841;0.509
"Redcurrant";0.538;0.855;0.885
"Gooseberry";0.506;0.733;0.995
"Raspberry";0.619;0.854;0.728
"Blueberry";0.516;0.741;0.959
"Sour cherry";0.745;0.893;0.43
"Plum";0.689;0.915;0.58
"Sweet cherry";0.688;0.915;0.605
"Elder";0.538;0.846;0.92
"Hazel";0.519;0.745;0.948
"Apple";0.796;0.886;0.25
"Pear";0.763;0.918;0.412
"Wine grape";0.741;0.938;0.478
"Rose hip";0.532;0.871;0.92
"Tomato";0.591;0.989;0.815
"Cucumber";0.613;0.97;0.766
