"RF_ME";"RF_ECO";"ME_ECO"
"152";0.835603490436043;-0.513346768602051;-0.381318295001886
"400";0.772842891025175;0.59558610841316;0.60239074952147
"401";0.853417467565967;-0.0585501556439176;-0.0896098056928607
"403";0.726639039241809;0.407004521745829;0.331033829126866
"404";0.789079418978324;0.126673933709558;0.07711639046175
"406";0.760293639779453;0.246895983491916;0.303878136679613
"407";0.865705159507762;-0.279510572737921;-0.218610240049317
"408";0.734489848825412;0.412733802989748;0.386604451039966
"410";0.757153457592145;0.260996730389462;0.224614678239188
"411";0.696445435405762;-0.212166736094172;-0.112701060643782
"412";0.869303710447198;0.200494504766192;0.17280293793509
"413";0.867307406107478;-0.198947325477008;-0.184182939301502
"415";0.709010068187714;-0.0831199032574972;-0.0501481224279348
"417";0.745556971370657;0.0394197681136136;0.0716481017834097
"418";0.853377589865374;0.402926017402901;0.383811704540481
"420";0.777875484386033;0.224082640978632;0.149200336597047
"421";0.785808888121769;0.274778915249356;0.284429014124787
"422";0.830220830680744;0.421413756261454;0.411687762687952
"423";0.813438024110457;NA;NA
"424";0.839121561577942;-0.186140113912199;-0.0644158287504798
"429";0.666761284718025;-0.289930860341626;-0.038483852814414
"430";0.669139412423974;-0.0908143449253696;-0.133165306123558
"511";0.815461783012264;0.370808224167728;0.375567231284799
"512";0.705207404231722;0.156288944509075;0.217828008732141
"513";0.792129721116748;NA;NA
"514";0.747794642093595;0.50691796670799;0.419712860041668
"515";0.823215259357258;0.558636323349914;0.485761162521774
"516";0.729878000149677;0.287553916148189;0.28660916442424
"518";0.7568501231933;-0.139830841168755;0.0397109473829737
"519";0.460444549182962;0.275411331988251;0.130255753309991
"520";0.859237946511836;-0.0556088769691845;0.00112856190465395
"522";0.91318937126283;-0.130509083094093;-0.0856297632288403
"524";0.779670626327161;0.0519007216321676;0.0940471889993617
"527";0.634079111084672;-0.0184827979972718;0.0462441400201767
"528";0.922688692283729;NA;NA
"529";0.898194009861965;NA;NA
"530";0.838264455580924;NA;NA
"540";0.733402922289794;0.174166277862019;0.165331030168413
"541";0.652781054920476;0.459454593062216;0.474812079024776
