Latitude;Longitude
35;105
43.58333;126.16667
41.25;122.66667
36.33333;118.25
35.68536;139.75309
43.06451;141.3466
36;138
40;127
36.5;127.75
47.33333;13.33333
53;28
50.75;4.5
42.66667;25.25
49.75;15
56;10
59;26
62;-7
64;26
46;2
51.5;10.5
47;20
65;-18
53;-8
57;25
55.41667;24
47.25;28.58333
52.25;5.75
62;10
52;20
46;25
60;100
56.85;43.44
66.25;47.78
53.1;134.88
46.08333;15
62;15
47.00016;8.01427
49;32
54.75844;-2.69531
60.10867;-113.64258
53.99983;-125.0032
46.5001;-65.99878
52;-56
45.00015;-62.99865
49.25014;-84.49983
46.39808;-63.29844
52.00017;-71.99907
46.83333;-56.33333
39.76;-98.5
64.00028;-150.00028
41.66704;-72.66648
39.00039;-75.49992
40.00032;-89.25037
45.50032;-69.24977
39.00039;-76.74997
42.36565;-71.10832
44.25029;-85.50033
46.25024;-94.25055
38.25031;-92.50046
43.66702;-71.4998
40.16706;-74.49987
43.00035;-75.4999
40.25034;-83.00018
40.27245;-76.90567
41.75038;-71.49978
44.00034;-72.74983
37.54812;-77.44675
47.50012;-120.50147
38.50038;-80.50009
44.50024;-90.00041
-25;135
-30;135
-42;174
