"Tablepotatoes.code";"Tablepotatoes.name";"Tablepotatoes.mean";"Gherkin.code";"Gherkin.name";"Gherkin.mean";"Aspargus.code";"Aspargus.name";"Aspargus.mean";"Cauliflower.code";"Cauliflower.name";"Cauliflower.mean";"Broccoli.code";"Broccoli.name";"Broccoli.mean";"Kale.code";"Kale.name";"Kale.mean";"Carrot.code";"Carrot.name";"Carrot.mean";"Whitecabbage.code";"Whitecabbage.name";"Whitecabbage.mean";"Celeriac.code";"Celeriac.name";"Celeriac.mean";"Onions.code";"Onions.name";"Onions.mean";"Parsnip.code";"Parsnip.name";"Parsnip.mean";"Rootparsley.code";"Rootparsley.name";"Rootparsley.mean";"Leek.code";"Leek.name";"Leek.mean";"Beet.code";"Beet.name";"Beet.mean";"Redcabbage.code";"Redcabbage.name";"Redcabbage.mean";"Lettuce.code";"Lettuce.name";"Lettuce.mean";"Savoycabbage.pointedcabbage.code";"Savoycabbage.pointedcabbage.name";"Savoycabbage.pointedcabbage.mean";"Spinach.code";"Spinach.name";"Spinach.mean";"Sweetcorn.code";"Sweetcorn.name";"Sweetcorn.mean";"Peas.code";"Peas.name";"Peas.mean";"Jerusalemartichoke.code";"Jerusalemartichoke.name";"Jerusalemartichoke.mean";"Leafparsley.code";"Leafparsley.name";"Leafparsley.mean";"Pumpkin.code";"Pumpkin.name";"Pumpkin.mean";"Rhubarb.code";"Rhubarb.name";"Rhubarb.mean";"Strawberry.code";"Strawberry.name";"Strawberry.mean";"Blackcurrant.code";"Blackcurrant.name";"Blackcurrant.mean";"Redcurrant.code";"Redcurrant.name";"Redcurrant.mean";"Gooseberry.code";"Gooseberry.name";"Gooseberry.mean";"Raspberry.code";"Raspberry.name";"Raspberry.mean";"Blueberry.code";"Blueberry.name";"Blueberry.mean";"Sourcherry.code";"Sourcherry.name";"Sourcherry.mean";"Plum.code";"Plum.name";"Plum.mean";"Sweetcherry.code";"Sweetcherry.name";"Sweetcherry.mean";"Elder.code";"Elder.name";"Elder.mean";"Hazel.code";"Hazel.name";"Hazel.mean";"Apple.code";"Apple.name";"Apple.mean";"Pear.code";"Pear.name";"Pear.mean";"Winegrape.code";"Winegrape.name";"Winegrape.mean";"Rosehip.code";"Rosehip.name";"Rosehip.mean";"Tomato.code";"Tomato.name";"Tomato.mean";"Cucumber.code";"Cucumber.name";"Cucumber.mean"
"1";1;"Vårbyg";161949.25;11;"Vinterhvede";1049.625;401;"Asparges";1554.5;403;"Blomkål";3703;1;"Vårbyg";3695.25;1;"Vårbyg";871.625;1;"Vårbyg";26396.875;1;"Vårbyg";4332.625;1;"Vårbyg";1235.125;11;"Vinterhvede";20711.875;11;"Vinterhvede";2135;11;"Vinterhvede";1692.25;415;"Porre";3320.5;11;"Vinterhvede";4795.75;11;"Vinterhvede";2896.625;420;"Salat (friland)";6808;1;"Vårbyg";2680.875;11;"Vinterhvede";3262.25;423;"Sukkermajs";3750.875;11;"Vinterhvede";68319.25;429;"Jordskokker, konsum";1288.125;420;"Salat (friland)";545;511;"Græskar";2202.25;512;"Rabarber";496;513;"Jordbær";11145.25;514;"Solbær";12123.5;515;"Ribs";2625.75;516;"Stikkelsbær";370.375;518;"Hindbær";235.875;519;"Blåbær";516.5;520;"Surkirsebær uden undervækst af græs";8405.25;522;"Blomme uden undervækst af græs";542.25;524;"Sødkirsebær uden undervækst af græs";621.25;526;"Hyld";176;527;"Hassel";284.875;528;"Æbler";12853.5;529;"Pærer";2524.125;530;"Vindrue";534;534;"Hyben";1608.75;540;"Tomater";45;541;"Agurker";45
"58";152;"Kartofler, spise-";105862.125;1;"Vårbyg";887.125;1;"Vårbyg";347;1;"Vårbyg";3608.5;404;"Broccoli";2894.875;406;"Grønkål";748.625;11;"Vinterhvede";22843.375;11;"Vinterhvede";3879.5;410;"Knoldselleri";1111.875;1;"Vårbyg";17189.125;1;"Vårbyg";2064.875;1;"Vårbyg";1411.625;11;"Vinterhvede";2075.25;1;"Vårbyg";3921.875;1;"Vårbyg";2561.75;1;"Vårbyg";3494.125;11;"Vinterhvede";2598.75;1;"Vårbyg";2251.5;1;"Vårbyg";2462.5;1;"Vårbyg";45985.25;1;"Vårbyg";855.375;1;"Vårbyg";276;1;"Vårbyg";2199;11;"Vinterhvede";82.375;11;"Vinterhvede";6462;11;"Vinterhvede";3354.625;514;"Solbær";660.375;11;"Vinterhvede";124;513;"Jordbær";51;1;"Vårbyg";140.25;1;"Vårbyg";1481.375;520;"Surkirsebær uden undervækst af græs";110.375;520;"Surkirsebær uden undervækst af græs";255.875;11;"Vinterhvede";153;583;"Juletræer og pyntegrønt på landbrugsjord";15.375;11;"Vinterhvede";824.5;528;"Æbler";642.125;1;"Vårbyg";44.5;11;"Vinterhvede";168.875;541;"Agurker";31.125;540;"Tomater";24.75
"10";11;"Vinterhvede";75065.75;400;"Asieagurker";695.875;152;"Kartofler, spise-";181.375;11;"Vinterhvede";2869.5;11;"Vinterhvede";2406.75;420;"Salat (friland)";697;407;"Gulerod";21864.875;408;"Hvidkål";2709.875;11;"Vinterhvede";849.875;411;"Løg";15150;412;"Pastinak";1841.125;413;"Rodpersille";1274.75;1;"Vårbyg";1878.75;417;"Rødbede";3366.25;418;"Rødkål";1813.75;11;"Vinterhvede";1480.125;421;"Savoykål, spidskål";2164.125;420;"Salat (friland)";1706.75;11;"Vinterhvede";2321.125;424;"Ærter, konsum";29238.625;260;"Græs med kløver/lucerne, under 50 % bælgpl. (omdrift)";632;430;"Bladpersille";265.75;11;"Vinterhvede";1853.625;1;"Vårbyg";78.375;1;"Vårbyg";6234;1;"Vårbyg";3241.625;11;"Vinterhvede";286;1;"Vårbyg";121.875;11;"Vinterhvede";39.125;14;"Vinterrug";37.125;11;"Vinterhvede";1180.375;528;"Æbler";78.625;11;"Vinterhvede";64.125;1;"Vårbyg";123.375;260;"Græs med kløver/lucerne, under 50 % bælgpl. (omdrift)";9.25;1;"Vårbyg";802.375;1;"Vårbyg";108.875;11;"Vinterhvede";37;1;"Vårbyg";167.875;400;"Asieagurker";1.75;260;"Græs med kløver/lucerne, under 50 % bælgpl. (omdrift)";20.125
"77";216;"Silomajs";33310.875;152;"Kartofler, spise-";264.625;11;"Vinterhvede";140.875;415;"Porre";1152.75;260;"Græs med kløver/lucerne, under 50 % bælgpl. (omdrift)";1626.625;260;"Græs med kløver/lucerne, under 50 % bælgpl. (omdrift)";417.125;260;"Græs med kløver/lucerne, under 50 % bælgpl. (omdrift)";13741.875;216;"Silomajs";802.5;152;"Kartofler, spise-";845.75;152;"Kartofler, spise-";4264.625;15;"Vinterhybridrug";1206.875;216;"Silomajs";712.75;403;"Blomkål";747.125;152;"Kartofler, spise-";1830.125;152;"Kartofler, spise-";1695.25;411;"Løg";1475;260;"Græs med kløver/lucerne, under 50 % bælgpl. (omdrift)";907.875;422;"Spinat";1704;216;"Silomajs";738.875;22;"Vinterraps";20839.75;3;"Vårhavre";462.875;422;"Spinat";92.125;152;"Kartofler, spise-";1106.625;260;"Græs med kløver/lucerne, under 50 % bælgpl. (omdrift)";58.625;152;"Kartofler, spise-";1662;22;"Vinterraps";859;1;"Vårbyg";269.5;514;"Solbær";90;1;"Vårbyg";26.75;514;"Solbær";30;524;"Sødkirsebær uden undervækst af græs";502.75;11;"Vinterhvede";68;260;"Græs med kløver/lucerne, under 50 % bælgpl. (omdrift)";60.625;260;"Græs med kløver/lucerne, under 50 % bælgpl. (omdrift)";98.125;11;"Vinterhvede";3.75;529;"Pærer";670.75;11;"Vinterhvede";89;22;"Vinterraps";26.625;532;"Anden buskfrugt";158.75;450;"Grøntsager, blandinger";1;11;"Vinterhvede";13
"93";260;"Græs med kløver/lucerne, under 50 % bælgpl. (omdrift)";23975.625;423;"Sukkermajs";195.75;15;"Vinterhybridrug";118.75;260;"Græs med kløver/lucerne, under 50 % bælgpl. (omdrift)";815.125;420;"Salat (friland)";1491;11;"Vinterhvede";373.5;15;"Vinterhybridrug";9568.5;260;"Græs med kløver/lucerne, under 50 % bælgpl. (omdrift)";668.125;411;"Løg";487.25;22;"Vinterraps";4153.125;22;"Vinterraps";669.25;260;"Græs med kløver/lucerne, under 50 % bælgpl. (omdrift)";635.375;260;"Græs med kløver/lucerne, under 50 % bælgpl. (omdrift)";643.625;260;"Græs med kløver/lucerne, under 50 % bælgpl. (omdrift)";1230.625;2;"Vårhvede";615.5;151;"Kartofler, stivelses-";1024;411;"Løg";896.125;22;"Vinterraps";513.5;424;"Ærter, konsum";502.125;160;"Sukkerroer til fabrik";13588.625;11;"Vinterhvede";439.875;11;"Vinterhvede";88.875;411;"Løg";1061.75;450;"Grøntsager, blandinger";44.75;22;"Vinterraps";917.375;515;"Ribs";521.75;10;"Vinterbyg";70;260;"Græs med kløver/lucerne, under 50 % bælgpl. (omdrift)";38.875;152;"Kartofler, spise-";12.5;260;"Græs med kløver/lucerne, under 50 % bælgpl. (omdrift)";25.375;216;"Silomajs";327.75;1;"Vårbyg";38;263;"Græs uden kløvergræs (omdrift)";41.875;3;"Vårhavre";67.375;1;"Vårbyg";3.125;520;"Surkirsebær uden undervækst af græs";167.5;520;"Surkirsebær uden undervækst af græs";52.75;532;"Anden buskfrugt";22.625;260;"Græs med kløver/lucerne, under 50 % bælgpl. (omdrift)";73.125;152;"Kartofler, spise-";0.375;1;"Vårbyg";6
"13";15;"Vinterhybridrug";21149.625;411;"Løg";172.125;10;"Vinterbyg";86.25;13;"Vinterhvede, brødhvede";809.5;151;"Kartofler, stivelses-";1116.625;3;"Vårhavre";323.375;3;"Vårhavre";7195.375;152;"Kartofler, spise-";613.875;260;"Græs med kløver/lucerne, under 50 % bælgpl. (omdrift)";257.625;216;"Silomajs";3756.125;260;"Græs med kløver/lucerne, under 50 % bælgpl. (omdrift)";623.125;15;"Vinterhybridrug";538.5;22;"Vinterraps";436;407;"Gulerod";1153.5;411;"Løg";567.125;260;"Græs med kløver/lucerne, under 50 % bælgpl. (omdrift)";797.25;420;"Salat (friland)";861.75;160;"Sukkerroer til fabrik";456.875;10;"Vinterbyg";445.5;13;"Vinterhvede, brødhvede";8707.875;14;"Vinterrug";432.75;261;"Kløvergræs, over 50% kløver (omdrift)";59.375;423;"Sukkermajs";730.25;3;"Vårhavre";39.25;10;"Vinterbyg";897.875;10;"Vinterbyg";376.125;22;"Vinterraps";63.25;518;"Hindbær";17.5;532;"Anden buskfrugt";11.25;266;"Græs under 50% kløver/lucerne, ekstremt lavt udbytte (omdrift)";25.375;22;"Vinterraps";200.25;260;"Græs med kløver/lucerne, under 50 % bælgpl. (omdrift)";17.625;1;"Vårbyg";39.5;10;"Vinterbyg";59.875;263;"Græs uden kløvergræs (omdrift)";3;22;"Vinterraps";165.5;513;"Jordbær";29.625;15;"Vinterhybridrug";21.375;10;"Vinterbyg";50.25;434;"Grøntsager, andre (friland)";0.375;15;"Vinterhybridrug";4.125
"17";22;"Vinterraps";18175.125;10;"Vinterbyg";159.875;22;"Vinterraps";69.25;10;"Vinterbyg";540.5;411;"Løg";800.5;411;"Løg";218.375;152;"Kartofler, spise-";6887.375;22;"Vinterraps";442.125;216;"Silomajs";216.5;10;"Vinterbyg";3218.5;152;"Kartofler, spise-";599.5;152;"Kartofler, spise-";524.75;216;"Silomajs";377.375;22;"Vinterraps";925.25;260;"Græs med kløver/lucerne, under 50 % bælgpl. (omdrift)";461;404;"Broccoli";701.375;216;"Silomajs";736.875;10;"Vinterbyg";314.375;411;"Løg";422.625;108;"Rødsvingelfrø";6388.875;407;"Gulerod";299.75;450;"Grøntsager, blandinger";44.875;14;"Vinterrug";658.5;10;"Vinterbyg";33.875;424;"Ærter, konsum";826.75;15;"Vinterhybridrug";243.125;152;"Kartofler, spise-";43.5;124;"Spinatfrø";16.75;516;"Stikkelsbær";11.125;531;"Anden træfrugt";21;260;"Græs med kløver/lucerne, under 50 % bælgpl. (omdrift)";196.375;531;"Anden træfrugt";15.75;267;"Græs  under 50% kløver/lucerne, meget lavt udbytte (omdrift)";23.125;252;"Permanent græs, normalt udbytte";56;325;"MFO-Blomsterbrak";2.25;260;"Græs med kløver/lucerne, under 50 % bælgpl. (omdrift)";134.25;22;"Vinterraps";23.75;252;"Permanent græs, normalt udbytte";20.875;22;"Vinterraps";43.125;513;"Jordbær";0.375;10;"Vinterbyg";4
"9";10;"Vinterbyg";17439;513;"Jordbær";154.625;514;"Solbær";66.375;216;"Silomajs";527.125;10;"Vinterbyg";674.375;450;"Grøntsager, blandinger";214.125;22;"Vinterraps";6249.75;10;"Vinterbyg";428.75;513;"Jordbær";193.375;420;"Salat (friland)";3072.375;3;"Vårhavre";597.75;3;"Vårhavre";523.625;10;"Vinterbyg";288.75;2;"Vårhvede";806;407;"Gulerod";419.5;422;"Spinat";654.25;10;"Vinterbyg";697.125;101;"Rajgræsfrø, alm.";271.5;22;"Vinterraps";384.5;10;"Vinterbyg";5334.125;15;"Vinterhybridrug";239;152;"Kartofler, spise-";42;13;"Vinterhvede, brødhvede";652.625;265;"Græs/kløvergræs slæt før vårsåede afgrøder";25.875;15;"Vinterhybridrug";631.875;216;"Silomajs";226.375;15;"Vinterhybridrug";43.375;310;"Brak, sommerslåning";15.75;22;"Vinterraps";8.5;268;"Græs under 50% kløver/lucerne, lavt udbytte (omdrift)";17.5;528;"Æbler";164.5;583;"Juletræer og pyntegrønt på landbrugsjord";13.5;261;"Kløvergræs, over 50% kløver (omdrift)";22.125;22;"Vinterraps";52.625;110;"Svingelfrø, stivbladet";1.75;539;"Blandet frugt";125.25;260;"Græs med kløver/lucerne, under 50 % bælgpl. (omdrift)";22.125;260;"Græs med kløver/lucerne, under 50 % bælgpl. (omdrift)";19.875;583;"Juletræer og pyntegrønt på landbrugsjord";37.875;408;"Hvidkål";0.25;3;"Vårhavre";3.25
"3";3;"Vårhavre";13315.5;22;"Vinterraps";126.625;423;"Sukkermajs";63.5;404;"Broccoli";472;403;"Blomkål";528.625;422;"Spinat";139.125;216;"Silomajs";5665.75;15;"Vinterhybridrug";425.75;13;"Vinterhvede, brødhvede";172.5;13;"Vinterhvede, brødhvede";3054.625;407;"Gulerod";561.75;2;"Vårhvede";449.125;407;"Gulerod";288.375;15;"Vinterhybridrug";783.375;417;"Rødbede";267.5;15;"Vinterhybridrug";412.375;15;"Vinterhybridrug";604.125;260;"Græs med kløver/lucerne, under 50 % bælgpl. (omdrift)";268.125;152;"Kartofler, spise-";377.625;3;"Vårhavre";3541.875;152;"Kartofler, spise-";182.125;260;"Græs med kløver/lucerne, under 50 % bælgpl. (omdrift)";41.375;22;"Vinterraps";543;22;"Vinterraps";24.25;216;"Silomajs";547.375;260;"Græs med kløver/lucerne, under 50 % bælgpl. (omdrift)";198.375;520;"Surkirsebær uden undervækst af græs";35;2;"Vårhvede";12.125;519;"Blåbær";7.75;532;"Anden buskfrugt";14.25;160;"Sukkerroer til fabrik";105.375;22;"Vinterraps";11.625;528;"Æbler";21.875;14;"Vinterrug";33.125;22;"Vinterraps";1.25;3;"Vårhavre";110.75;522;"Blomme uden undervækst af græs";21.125;255;"Permanent græs, under 50% kløver/lucerne";18.875;216;"Silomajs";29.25;411;"Løg";0.25;2;"Vårhvede";2.375
"57";151;"Kartofler, stivelses-";11684.125;511;"Græskar";122.75;260;"Græs med kløver/lucerne, under 50 % bælgpl. (omdrift)";55.5;15;"Vinterhybridrug";422.875;415;"Porre";437.75;2;"Vårhvede";112.125;10;"Vinterbyg";5188.125;411;"Løg";406.375;3;"Vårhavre";133.5;260;"Græs med kløver/lucerne, under 50 % bælgpl. (omdrift)";2695.125;2;"Vårhvede";550.25;407;"Gulerod";411;404;"Broccoli";270.625;10;"Vinterbyg";751.875;22;"Vinterraps";238.625;407;"Gulerod";373.875;3;"Vårhavre";360.875;108;"Rødsvingelfrø";231.75;513;"Jordbær";349.125;14;"Vinterrug";3504.5;22;"Vinterraps";167.5;432;"Krydderurter (undtagen persille og purløg)";28.5;513;"Jordbær";273.75;513;"Jordbær";21;3;"Vårhavre";507.625;14;"Vinterrug";161.625;2;"Vårhvede";29.875;30;"Ærter";10.75;266;"Græs under 50% kløver/lucerne, ekstremt lavt udbytte (omdrift)";5.875;518;"Hindbær";12.625;108;"Rødsvingelfrø";100.75;255;"Permanent græs, under 50% kløver/lucerne";10.5;268;"Græs under 50% kløver/lucerne, lavt udbytte (omdrift)";18.75;214;"Korn og bælgsæd, helsæd, under 50% bælgsæd";27.625;660;"Persillefrø";1.125;252;"Permanent græs, normalt udbytte";96.5;251;"Permanent græs, lavt udbytte";13.75;16;"Vintertriticale";17.125;15;"Vinterhybridrug";25.625;420;"Salat (friland)";0.25;22;"Vinterraps";2
