Tablepotatoes;Gherkin;Aspargus;Cauliflower;Broccoli;Kale;Carrot;Whitecabbage;Celeriac;Onions;Parsnip;Rootparsley;Leek;Beet;Redcabbage;Lettuce;Savoycabbage,pointedcabbage;Spinach;Sweetcorn;Peas;Jerusalemartichoke;Leafparsley;Pumpkin;Rhubarb;Strawberry;Blackcurrant;Redcurrant;Gooseberry;Raspberry;Blueberry;Sourcherry;Plum;Sweetcherry;Elder;Hazel;Apple;Pear;Winegrape;Rosehip;Tomato;Cucumber;
BIO01_mean_T;9.2;15.4;27.6;8;62.5;13.2;32.7;10.4;7.2;29.1;32.6;44.8;3.8;22.8;22.6;39;17.7;14.1;24.5;9.1;28.3;16.2;19.1;17.5;12.4;41.9;27.5;24.8;9.9;8.8;21.6;22.3;35.2;36.8;7.9;14.3;14.8;5.7;74.4;6.2;4.2
BIO05_max_T;21.9;6.9;4.8;24.1;34.9;28;6.4;9.8;6.5;6.8;5.9;12.3;7.3;4.7;7.4;3.6;17.2;16.6;8.4;2.7;34.1;5.2;6.2;1.4;7.5;9.8;6.9;11.4;10.2;19.6;16;12.3;3.1;46.7;58;9;14.1;17.8;10.4;12.1;40.3
BIO06_min_T;6.9;10.2;4.8;22.5;61;16.3;31.6;11.8;12.5;14.2;33.2;52.4;10.6;9.6;5.6;36.8;24.3;22.1;16.1;2.2;23.5;18.6;6.8;0.6;14.4;11.7;13.4;38.5;11.2;23.5;9.5;24.1;9.1;51.9;37.7;16.6;10.3;20.1;38.7;1.8;4.8
BIO10_meanT_warmest_Q;19.7;30.8;37.6;9.9;26.1;13.9;10;30;13.9;28.4;23.4;22.7;9.6;19.7;37.4;8.6;22.6;11.8;10.7;27.8;37;10.1;32.5;48;17.6;27.6;41.3;15;52.5;32.1;55.6;34.7;24.3;40.8;32.3;39.1;52.2;25;27.8;32.5;13.8
BIO11_meanT_coldest_Q;7.1;30.1;39;43.1;56.9;20.5;24.3;16.4;14.4;36.6;49;80.7;17.3;22.8;25.5;67.7;48.9;35.9;42.5;9.1;17;51.1;18;11.2;9.4;19.4;20;55.7;10.4;10.5;14.3;39.4;27;55.5;24.6;34;47.1;12.6;67.7;4.5;13.6
BIO12_mean_P;48.1;26.8;52.7;72.5;33.9;40.1;20.9;42;64.5;36.2;62.8;48.5;55.4;48.4;78.2;26.8;46.3;100;43.9;37.4;56.9;80.6;79.4;43.4;48.7;69.3;37.5;19.5;54.9;23.1;50.2;71;100;67;99.8;76.1;72.6;100;56.7;39.7;18.8
BIO13_P_wettest_M;27.2;43.5;62.7;100;40.6;48.2;31.8;62;93.1;91.5;68.2;69.6;91.7;63.5;59.1;37.6;62.1;88.8;54;68.4;69.9;95.5;100;24;70.6;54.6;63.7;20;78.5;16;64.2;100;70.6;38.5;75.8;100;100;87.7;75.1;69.2;50.1
BIO14_P_driest_M;100;11.1;26.6;52.6;31.6;28.2;27.6;19.2;99.9;54.2;51.2;69.4;39.6;100;100;37.7;29.2;80.3;20.7;14;33.2;85.1;59.2;15.9;26.9;26.5;12.6;25.1;51.3;20.3;16.4;24.4;37.2;39.9;50;53;34.7;31.6;38.2;19.1;11.9
ddays;17.1;17.2;29.8;14.2;72;20.8;30.9;21.7;15.1;32.3;29.9;77.7;14.3;30.1;31.8;22.3;29.7;22.2;24.3;32.3;19.8;19;24.7;39.9;32.3;52.8;54.4;22.7;35.1;19.5;43.4;49.4;60.2;50.6;12.1;37;45.8;19;47.4;26.5;12.6
dist_cit_010000;5.6;34.5;28.8;9;60.4;29.9;9.8;10.8;37;89.1;10;24.4;100;20.1;24.6;14.7;37.2;14.7;20.9;1.8;29.3;51.7;20.2;31.9;42.2;18;12.6;79.1;28.1;77.7;8.1;18.4;8;37.4;24.6;3.7;5.3;31;7.8;61.5;70
dist_cit_100000;12.3;40.8;41;41.1;71.3;100;17.8;100;36.2;100;84.6;100;59.9;54.9;30;86.5;100;51.2;22.4;12.3;100;100;47.3;100;38.3;49;55.3;56.5;32.1;18.8;17.9;24.5;22.7;46.8;100;16.1;15.4;33.8;22.4;20.4;41.9
DMI_frostrisk;56.1;18.9;46.9;24.3;55.9;97;83.1;35.4;19.6;47;100;92.6;29.5;53.6;33.9;100;78.3;33.2;39.6;64.9;30;54.5;24.3;27.6;55.3;35;33.2;100;41.8;100;20.7;23.6;22.5;100;57.3;19.7;20.4;15;56.4;46.2;44.9
DMI_growdays;33.5;38;100;22;71.6;32.2;100;37.7;24;99.8;63.9;63.7;42;44.2;36.5;61.1;79.6;81;100;100;27.7;92.3;48.3;57.2;64.6;100;100;49.9;47.1;21.3;91.6;45.9;62.4;76.2;21.6;64.7;67.5;75.2;97.6;100;64.3
DMI_precipitation;32.1;100;61;90.6;46;38.3;35.2;56.2;100;51.2;93.8;61.1;93.7;60.1;87.7;32.1;94.3;56.7;53.9;59.6;27.3;51.1;58.1;45.5;100;38.5;52.2;53.7;100;32.1;55.5;69.5;37.9;97.9;55.2;81.3;69.1;96.9;94.6;28.1;21.6
DMI_solar;47.8;54;67.2;25.8;100;26.7;21.5;53.2;63.6;70.2;37.5;42.7;26.8;56.8;93.3;66.4;86.9;36.2;38.5;44.5;87;42;46.4;86;62.3;68.7;54;36.6;27.1;51.9;100;31.4;65.3;71.8;73.2;31.9;54.6;41.7;100;57.3;100
dirinsola;0.2;0.4;0.3;0.1;0;0.2;0.1;0.1;0.1;0.3;0.2;0.1;0.2;0.1;0.2;0.1;0.2;0.4;0.1;0;0.4;2.1;0.1;0.1;0.1;0.2;0.2;0.9;5.3;1.4;0.1;0.9;0.2;4.2;1.6;0.2;0.3;54;0.1;1.5;8.8
clay_000_030;48.6;7.2;42.7;3.8;7.3;6.7;32.4;4.6;11.7;9.8;17.5;7.1;30.4;2.4;3.5;2.9;3.7;33.7;3;4.8;43;6.7;1.4;10.8;15.6;7.3;7.8;9.6;8.7;75.7;7;15.9;7.7;24;25.4;11.2;9;20.3;7.4;59.5;25.3
clay_030_060;29.1;1.2;28;1.1;2.2;3.6;17;0.6;2.9;5.1;5;4.3;18.5;0.5;0.9;0.9;1.9;11.2;2;2.6;18.1;3.9;0.6;0.7;2.8;5.3;3.4;34.3;2;24.1;1.5;3.4;1.7;18.1;4.5;3.6;3.8;5.7;4.8;35.2;18.5
clay_060_100;39.7;1;18;1;1.9;6.3;4.2;1;1.7;3.9;3.5;4.1;3.9;1.3;1.3;3.5;3.4;14.4;0.9;1.6;14.4;18.4;0.4;0.3;3.1;8.7;1.7;31.2;9.9;38.3;0.8;5.1;2.5;9.6;10.3;5.3;5;6.6;1;15;12.7
