"Tablepotatoes";"Gherkin";"Aspargus";"Cauliflower";"Broccoli";"Kale";"Carrot";"Whitecabbage";"Celeriac";"Onions";"Parsnip";"Rootparsley";"Leek";"Beet";"Redcabbage";"Lettuce";"Savoycabbage,pointedcabbage";"Spinach";"Sweetcorn";"Peas";"Jerusalemartichoke";"Leafparsley";"Pumpkin";"Rhubarb";"Strawberry";"Blackcurrant";"Redcurrant";"Gooseberry";"Raspberry";"Blueberry";"Sourcherry";"Plum";"Sweetcherry";"Elder";"Hazel";"Apple";"Pear";"Winegrape";"Rosehip";"Tomato";"Cucumber"
"BIO01_mean_T";0.001;5.4244;0.943;1.5941;0;0.0983;0.3707;9.904;2.3581;0.0854;0;0;0.0265;0.1911;0.1108;0.0791;0;5.6603;0.654;0.5977;0.0289;1.213;0.0081;0.8148;1.8444;8.5752;2.7828;0;0.9721;0;1.1488;1.7728;7.767;8.0862;2.2482;0.4648;0;3.767;6.6536;0;0.0191
"BIO05_max_T";0.0011;1.2573;0.8339;0.5031;0;0;0.377;1.0582;0.1121;0.1602;0.6479;1.2601;0.4709;0.2657;3.1149;0;0.9201;0.8058;0.1051;3.1704;13.0969;0.6363;0.5525;0.2783;0.8192;0.0171;0;0.0464;0.0574;2.6439;1.5585;2.2321;0.0808;7.6109;1.7357;0.9975;0.048;0.1182;0.3002;0.1133;6.1724
"BIO06_min_T";4.3387;0.4823;0.3756;0.0565;13.4898;0.9624;2.3579;0.7686;2.5631;0.8642;5.8237;3.2924;0.7382;1.2457;0.7327;0.8759;2.1594;3.1244;0.1959;2.2675;2.1911;2.8076;0.7074;3.5934;0.2227;2.2916;1.689;3.285;0.2888;0.1746;0.6441;2.5493;3.7968;0.6736;5.9445;1.9862;0.4297;1.2531;13.6462;0.4197;0.3215
"BIO10_meanT_warmest_Q";0.1609;0.4805;0.0683;0.9121;0.0255;1.9772;1.6471;7.9899;4.9298;0.4735;3.0509;3.3841;1.4849;1.1154;4.6017;0.0022;3.4094;4.3858;3.3282;0.0633;0.7405;0.0924;2.5188;8.2873;0.0607;4.7017;2.2735;2.7012;10.2074;4.1022;9.4837;6.6801;9.1065;8.9471;1.4729;0;1.6732;0.3153;1.238;0;0.1628
"BIO11_meanT_coldest_Q";6.8932;2.5937;1.6894;10.3049;2.2355;1.8202;0.0536;0.0204;0.6666;2.2107;3.8651;7.2106;7.2552;0.0915;2.2068;9.0253;4.8328;4.6325;0.4665;0;1.4568;5.6995;1.8147;2.8855;0.5481;0.9491;3.7353;0.5292;1.2112;0.6812;0.0781;3.8648;11.9115;7.9737;0.1589;9.7445;16.3878;1.7513;7.0619;0;0.7769
"BIO12_mean_P";10.0443;5.3881;8.3841;0.0157;0;0.0926;0;0.9927;0.9178;0.6521;2.0062;3.0993;1.4132;17.1589;22.9486;0.0168;2.4905;8.4173;9.065;4.7999;6.14;7.8579;2.3942;0.1872;0.5004;10.9084;10.079;2.4868;0;1.9371;11.3676;0.1169;0.0347;1.5216;0.4166;0;3.4822;0.4454;3.2813;0.2745;0
"BIO13_P_wettest_M";5.9539;3.7151;52.221;5.2341;3.9776;9.6831;16.3368;3.9022;0.4429;13.5212;1.4089;2.0974;0.1123;4.7609;8.5394;5.3855;0.1509;2.1698;2.4675;13.9554;6.2587;2.2339;0.294;35.2137;4.1402;4.2158;5.9886;3.9397;13.7726;0.0471;0.501;27.1288;0.2917;0.1304;0.6684;17.3326;18.0828;1.7317;3.875;0;30.5591
"BIO14_P_driest_M";2.8774;11.9056;1.9212;1.4284;0.2891;1.663;7.1672;0.4321;2.8395;0.5758;8.5152;14.4261;0.1719;11.529;3.0753;4.7838;0.9482;0.7992;0.0568;0.1048;0;1.1371;0.3208;2.0139;3.6953;0.3299;4.2006;1.22;2.6891;0.2081;0.7534;0.7533;0.0544;1.1071;2.4515;5.593;5.4915;0.1113;0.4883;0.5198;0
"ddays";0;1.2814;1.9653;3.7512;3.0297;0;10.8734;0.9952;0.1572;0.9169;0.1994;0.124;7.8146;2.4262;4.9717;1.8193;6.4164;0.601;2.6582;7.322;16.3237;1.5684;4.1917;0.0471;0.8361;1.9196;0.5215;0.474;3.4207;0.3033;0.1923;6.8481;11.4687;0;0.4494;1.5633;0.6921;0.2707;0.0229;0;1.1807
"dist_cit_010000";1.0331;3.7798;0.9461;0.5419;4.9574;6.2803;3.2817;4.6819;5.6827;10.5603;10.3155;9.6294;10.1029;2.054;4.9583;8.1836;1.4031;2.7531;2.5795;1.4886;0.7717;6.58;0.6984;0.2695;0.9921;6.1803;1.3476;4.8083;2.1837;4.5271;0.7214;0.2129;4.093;1.3667;1.8999;0.6468;0.6888;1.8839;0.2929;28.5616;1.8446
